from,to,weight
jeremy,sikachu,1
josevalim,drogus,4
dasch,rafaelfranca,1
josevalim,dhh,2
tenderlove,fxn,1
tenderlove,neerajdotname,1
josevalim,MSch,1
jonleighton,dhh,6
dhh,sikachu,4
tenderlove,pixeltrix,1
jeremy,spastorino,1
fxn,vijaydev,1
jeremy,jonleighton,2
ernie,phene,2
josevalim,ernie,7
josevalim,sikachu,2
josevalim,parndt,7
josevalim,jonleighton,1
bcardarella,ernie,1
tenderlove,jfirebaugh,1
josevalim,iain,4
tomstuart,josevalim,1
spastorino,norman,1
jeremy,paneq,1
josevalim,davout,1
dolzenko,guilleiguaran,1
jeremy,jfirebaugh,2
josevalim,franckverrot,7
tenderlove,eduardordm,1
franckverrot,spastorino,4
pixeltrix,amatsuda,1
amatsuda,spastorino,1
spastorino,jfirebaugh,1
tenderlove,franckverrot,2
bcardarella,sikachu,3
jfirebaugh,josevalim,8
radar,josevalim,2
josevalim,starpeak,7
sikachu,mikel,2
gnufied,josevalim,1
bcardarella,dhh,10
jaredonline,dhh,2
exviva,bcardarella,1
bcardarella,cpjolicoeur,1
cpjolicoeur,bai,1
bai,bcardarella,1
jfirebaugh,xuanxu,1
mandrews,phene,1
sikachu,jfirebaugh,1
phene,ches,1
ches,dtrasbo,1
dtrasbo,ernie,1
phene,bayan,1
bayan,sikachu,1
sikachu,arthurschreiber,1
arthurschreiber,dhh,1
svenfuchs,pusewicz,1
pusewicz,jeroenvandijk,1
jeroenvandijk,burke,1
burke,john-griffin,1
john-griffin,tadast,1
tadast,dombesz,1
dombesz,rougecardinal,1
rougecardinal,scottlowe,1
scottlowe,oriolgual,1
oriolgual,guilleiguaran,1
dolzenko,txus,1
txus,sobrinho,1
sobrinho,majormajors,1
majormajors,eduardordm,1
eduardordm,mtodd,1
mtodd,jayferd,1
jayferd,josepjaume,1
josepjaume,flavorjones,1
flavorjones,tobi,1
tobi,eduardordm,1
eduardordm,grimen,1
grimen,Informpro,1
Informpro,dpickett,1
dpickett,ernie,1
ernie,chanks,2
ernie,eduardordm,1
bcardarella,elight,5
elight,dhh,10
elight,ches,1
ches,dhh,1
dhh,nruth,1
nruth,elight,1
elight,davemcp,2
bcardarella,jjb,1
jjb,iain,1
iain,dhh,1
dhh,craftycode,1
craftycode,rolftimmermans,1
rolftimmermans,dhh,1
elight,sudara,1
sudara,dhh,2
sudara,phene,1
phene,jamesarosen,1
jamesarosen,injekt,1
injekt,h3h,2
injekt,jfirebaugh,1
jfirebaugh,h3h,1
h3h,jamesarosen,1
jamesarosen,patmaddox,1
patmaddox,glongman,1
glongman,plukevdh,1
plukevdh,phene,1
phene,pwnall,1
pwnall,dhh,1
dhh,samoli,1
samoli,neverhood,1
neverhood,jazminschroeder,1
jazminschroeder,croaky,1
croaky,jamesarosen,1
jamesarosen,dhh,1
dhh,BMorearty,2
BMorearty,dtrasbo,3
dtrasbo,dchelimsky,1
dchelimsky,pigoz,1
pigoz,bcardarella,1
dhh,dchelimsky,2
dhh,h3h,2
sikachu,josiahivey,1
josiahivey,dchelimsky,1
dchelimsky,ernie,1
phene,SharpX,1
SharpX,bcardarella,1
bcardarella,josiahivey,2
bcardarella,Fonsan,1
Fonsan,pigoz,1
pigoz,ernie,1
ernie,BMorearty,1
BMorearty,sikachu,1
ernie,sikachu,3
dmathieu,joliss,1
joliss,radar,2
agibralter,dhh,1
josevalim,abuiles,2
josevalim,haydn,1
radar,dougireton,1
dougireton,josevalim,1
josevalim,Breccan,2
tenderlove,damianham,4
pixeltrix,excid3,4
dmathieu,heironimus,1
heironimus,vijaydev,1
spastorino,andriytyurnikov,3
pixeltrix,jmileham,2
tenderlove,jmileham,7
bradbirnbaum,tiegz,1
josevalim,amerine,2
tomstuart,amerine,1
qmx,spastorino,1
spastorino,nragaz,2
spastorino,saimonmoore,1
josevalim,saimonmoore,1
glv,spastorino,1
josevalim,kuroda,1
kuroda,spastorino,3
NZKoz,bcardarella,3
fxn,semaperepelitsa,1
samuelkadolph,amw,1
amw,tenderlove,14
ernesto-jimenez,spastorino,1
samuelkadolph,mikel,2
samuelkadolph,telemachus,1
spastorino,jhawthorn,2
josevalim,etehtsea,3
mikel,geemus,1
geemus,spastorino,1
paneq,joshk,1
dhh,farski,2
paneq,franckverrot,1
josevalim,mlomnicki,1
mlomnicki,spastorino,5
ches,drogus,1
josevalim,krekoten,10
jeremy,franckverrot,1
tenderlove,thiyagarajan,1
rsim,alexrothenberg,1
alexrothenberg,tenderlove,4
chadoh,spastorino,1
fxn,justinweiss,1
justinweiss,stjhimy,1
spastorino,rsim,1
jeremy,pacoguzman,1
spastorino,krekoten,3
josevalim,Soleone,1
Soleone,bensie,1
bensie,loe,1
loe,iain,1
iain,miloops,2
iain,alexbartlow,1
alexbartlow,hamin,1
josevalim,JustinCampbell,2
davout,JustinCampbell,2
josevalim,gramos,1
gramos,bkeepers,1
hosiawak,gramos,1
gucki,jfirebaugh,1
mikel,gramos,2
jeremy,chriseppstein,2
jeremy,grimen,1
ctrochalakis,neerajdotname,1
fxn,mikel,2
fxn,squadette,2
jfirebaugh,loe,1
mikel,josevalim,4
mikel,acatighera,1
josevalim,siong1987,1
mikel,drogus,2
mikel,grzegorzkazulak,1
grzegorzkazulak,pch,1
dtrasbo,brianmario,1
brianmario,sferik,1
dasch,mikel,1
mikel,marsuboss,2
mikel,pixeltrix,1
