from,to,weight
agrobbin,rafaelfranca,3
schneems,steveklabnik,68
rafaelfranca,JonRowe,4
rafaelfranca,yahonda,29
josevalim,josh,1
josh,rafaelfranca,9
dhh,trevorturk,2
josh,dhh,3
carlosantoniodasilva,egilburg,3
rafaelfranca,tenderlove,25
acapilleri,steveklabnik,18
carlosantoniodasilva,grosser,4
jonleighton,steveklabnik,20
strzalek,senny,3
guilleiguaran,dhh,4
josevalim,dhh,1
carlosantoniodasilva,kennyj,13
rafaelfranca,firedev,1
senny,khustochka,6
khustochka,carlosantoniodasilva,2
schneems,neerajdotname,1
carlosantoniodasilva,wangjohn,10
schneems,vipulnsward,3
steveklabnik,neerajdotname,4
steveklabnik,Intrepidd,1
jcoyne,senny,8
spastorino,carlosantoniodasilva,12
steveklabnik,spastorino,19
tricknotes,rafaelfranca,2
tricknotes,carlosantoniodasilva,5
guilleiguaran,NZKoz,2
acapilleri,rafaelfranca,14
wangjohn,jonleighton,1
arunagw,rajars2576,2
carlosantoniodasilva,rajars2576,1
tenderlove,fxn,4
tkhr,steveklabnik,2
rafaelfranca,fredwu,3
steveklabnik,teohm,3
woto,rafaelfranca,3
schneems,hone,1
steveklabnik,mattdbridges,2
Empact,carlosantoniodasilva,1
tenderlove,rubys,2
grosser,rafaelfranca,20
dhh,senny,1
neerajdotname,khustochka,1
senny,samwgoldman,1
tovodeverett,senny,1
pjg,carlosantoniodasilva,1
rafaelfranca,bcardarella,10
tenderlove,wangjohn,5
NZKoz,spastorino,5
NZKoz,senny,6
pixeltrix,thedarkone,2
zolzaya,senny,1
armstrjare,rafaelfranca,1
makaroni4,steveklabnik,2
thedarkone,steveklabnik,9
dmathieu,schneems,1
xaviershay,steveklabnik,3
sferik,rafaelfranca,5
guilleiguaran,bogdan,1
bogdan,carlosantoniodasilva,11
steveklabnik,al2o3cr,25
al2o3cr,rafaelfranca,26
schneems,arunagw,2
vipulnsward,fxn,2
kennyj,tenderlove,2
guilleiguaran,josh,10
route,rafaelfranca,11
route,steveklabnik,12
pixeltrix,wangjohn,2
josevalim,carlosantoniodasilva,19
josevalim,homakov,3
steveklabnik,adamgamble,4
carlosantoniodasilva,tkhr,6
carlosantoniodasilva,rubys,4
al2o3cr,pixeltrix,4
egilburg,neerajdotname,2
jonleighton,senny,22
steveklabnik,ptn,14
steveklabnik,josevalim,17
jwaldrip,rafaelfranca,2
pixeltrix,vipulnsward,6
fxn,dhh,2
egilburg,sgrif,1
sgrif,rafaelfranca,2
jcoglan,schneems,2
ptn,senny,2
jonleighton,dhh,16
Empact,rafaelfranca,1
rafaelfranca,prijutme4ty,1
te-chris,steveklabnik,2
steveklabnik,tenderlove,22
steveklabnik,bogdan,4
rafaelfranca,shime,4
neerajdotname,wangjohn,1
steveklabnik,alindeman,6
steveklabnik,NARKOZ,7
phoet,steveklabnik,5
tovodeverett,steveklabnik,1
steveklabnik,jeremy,24
frodsan,steveklabnik,39
lmcardle,senny,2
softwaregravy,rafaelfranca,3
rafaelfranca,ranjaykrishna,2
pixeltrix,rosenfeld,3
jeremy,carlosantoniodasilva,9
spohlenz,drogus,2
sikachu,steveklabnik,10
JonRowe,steveklabnik,10
carlosantoniodasilva,ernie,8
carlosantoniodasilva,dhh,2
dhh,sikachu,10
BMorearty,steveklabnik,1
DHB,steveklabnik,1
DHB,fxn,3
rafaelfranca,divoxx,2
alindeman,rafaelfranca,2
neerajdotname,dhh,2
neerajdotname,jeremy,2
jeremy,wangjohn,15
