from,to,weight
dbussink,washu,1
ka8725,dbussink,1
brixen,razielgn,4
razielgn,dbussink,150
cpuguy83,dbussink,9
jc00ke,dbussink,12
jc00ke,godfat,1
godfat,dbussink,4
dbussink,schmurfy,2
dbussink,dvdplm,3
dvdplm,vic,1
vic,dbussink,1
dbussink,igrigorik,1
igrigorik,jc00ke,1
jc00ke,dvdplm,1
dbussink,jamiehodge,1
dbussink,mislav,1
mjc,cpuguy83,1
brixen,vic,1
brixen,jnimety,3
jnimety,dbussink,3
robgleeson,ebenoist,2
brixen,IceDragon200,1
robgleeson,gkarekinian,11
robgleeson,YorickPeterse,4
YorickPeterse,gkarekinian,2
brixen,andreisebastianc,1
andreisebastianc,dbussink,8
brixen,dbussink,11
YorickPeterse,mpapis,1
mpapis,acook,1
acook,stuartnelson3,1
stuartnelson3,dbussink,1
dbussink,mpapis,4
YorickPeterse,stewart,2
YorickPeterse,stuartnelson3,1
stuartnelson3,robgleeson,1
robgleeson,mjc,1
mjc,cheapRoc,1
cheapRoc,robgleeson,2
drnic,mpapis,1
mpapis,brixen,1
dbussink,solnic,1
solnic,dkubb,1
dkubb,dbussink,1
dbussink,sferik,1
dbussink,agrimm,6
joeyjoejoejr,jeremyevans,1
jeremyevans,postmodern,1
razielgn,YorickPeterse,2
gkarekinian,headius,1
YorickPeterse,brixen,10
dbussink,sodabrew,20
dbussink,SPK201,5
brixen,kachick,7
dbussink,mkrogemann,1
dbussink,zaeleus,1
jeremyvdw,clemensg,1
clemensg,dbussink,8
jlecour,jc00ke,3
jc00ke,brixen,3
brixen,jlecour,5
jlecour,theoretick,1
YorickPeterse,deadprogram,1
deadprogram,clemensg,2
clemensg,brixen,1
brixen,deadprogram,1
clemensg,SPK201,1
brixen,anupnivargi,2
YorickPeterse,kachick,1
meskyanichi,dbussink,1
dbussink,hassan,7
hassan,meskyanichi,1
meskyanichi,YorickPeterse,3
brixen,yatish27,1
brixen,parkr,1
parkr,jc00ke,1
dbussink,kachick,92
kachick,robgleeson,1
robgleeson,jfredett,8
utenmiki,kachick,2
utenmiki,brixen,4
jc00ke,razielgn,1
razielgn,kachick,4
dbussink,keichan34,1
dbussink,anupnivargi,75
robgleeson,LBg,1
LBg,anupnivargi,1
anupnivargi,leocassarani,7
anupnivargi,robgleeson,1
robgleeson,dbussink,10
leocassarani,dbussink,11
kachick,anupnivargi,1
MrOrz,dbussink,1
dbussink,bf4,2
stakach,dbussink,5
kachick,leocassarani,3
dbussink,zaidakram,1
zaidakram,cpuguy83,4
dbussink,postmodern,1
postmodern,robin850,1
robin850,dbussink,2
leocassarani,razielgn,2
razielgn,robgleeson,1
brixen,robgleeson,1
dbussink,YorickPeterse,10
jc00ke,mcorino,1
mcorino,robgleeson,5
dbussink,charliesome,6
dbussink,mcorino,8
jc00ke,kachick,15
iainbeeston,dbussink,11
dbussink,NateW,2
dbussink,liothen,10
razielgn,baroquebobcat,1
baroquebobcat,brixen,3
dbussink,guilleiguaran,1
guilleiguaran,brixen,1
jc00ke,anupnivargi,7
dbussink,heftig,2
jc00ke,badosu,1
badosu,kachick,2
robgleeson,iainbeeston,1
iainbeeston,leocassarani,1
dbussink,darkgrin,6
dbussink,hron84,6
hron84,anupnivargi,1
brixen,hone,7
hone,veganstraightedge,5
veganstraightedge,jc00ke,1
jc00ke,hone,2
brixen,veganstraightedge,1
brixen,jwoertink,1
