from,to,weight
carljm,prestontimmons,10
erikr,aaugustin,2
charettes,akaariai,2
mjtamlyn,charettes,10
mjtamlyn,timgraham,14
evildmp,mjtamlyn,8
charettes,aaugustin,3
apollo13,timgraham,2
evildmp,timgraham,10
timgraham,shaib,1
evildmp,aaugustin,1
aaugustin,timgraham,6
timgraham,loic,4
akaariai,timgraham,3
timgraham,charettes,5
jacobian,timgraham,1
funkybob,alex,1
alex,timgraham,1
timgraham,andrewgodwin,1
mjtamlyn,claudep,3
mjtamlyn,andrewgodwin,1
timgraham,claudep,3
ramiro,timgraham,1
shaib,apollo13,2
carljm,apollo13,1
loic,mjtamlyn,1
evildmp,ptone,2
ptone,mjtamlyn,2
loic,funkybob,4
mjtamlyn,apollo13,4
charettes,loic,5
mjtamlyn,tomchristie,6
alex,loic,1
aaugustin,loic,1
timgraham,elvard,4
anderspetersson,akhayyat,1
akhayyat,aaugustin,1
hellysmile,mattrobenolt,5
mattrobenolt,aaugustin,3
bmispelon,claudep,5
timgraham,bmispelon,8
ersran9,jaap3,1
mjtamlyn,goinnn,5
bmispelon,shanx,2
bmispelon,loic,2
loic,kezabelle,2
erikr,timgraham,1
timgraham,jonaskoelker,1
bmispelon,mjtamlyn,4
freakboy3742,timgraham,1
mjtamlyn,batisteo,1
chrismedrela,freakboy3742,1
apollo13,russkel,1
russkel,freakboy3742,1
mjtamlyn,oinopion,8
mjtamlyn,jaylett,2
alex,aaugustin,7
akaariai,mjtamlyn,5
akaariai,ptone,2
akaariai,aaugustin,10
apollo13,rockymeza,1
mbrochh,apollo13,2
charettes,zyegfryed,1
zyegfryed,mjtamlyn,3
zyegfryed,bmispelon,2
timgraham,mliu7,1
charettes,claudep,8
carljm,ptone,5
carljm,dstufft,2
dstufft,ptone,2
carljm,selwin,1
selwin,ptone,2
alex,kux,1
kux,charettes,2
bmispelon,tomchristie,1
mjtamlyn,erikr,1
erikr,charettes,1
akaariai,dstufft,1
areski,rach,1
charettes,gavinwahl,6
gavinwahl,mjtamlyn,2
wckd,timgraham,1
alex,lukaszb,3
charettes,lukaszb,3
mjtamlyn,alex,1
alex,charettes,1
lukaszb,claudep,2
mjtamlyn,lukaszb,4
alex,patrys,1
mjtamlyn,AndreaCrotti,2
timgraham,patrys,4
ambv,pyriku,5
Jajcus,patrys,1
alex,bmispelon,1
bmispelon,sicarrots,1
sicarrots,alex,2
sicarrots,timgraham,1
mjtamlyn,frog32,2
bmispelon,danielquinn,4
jgeskens,loic,1
mjtamlyn,niconoe,1
niconoe,timgraham,1
mjtamlyn,sicarrots,7
lqc,jgasteiz,1
jgasteiz,timgraham,1
agafonovdmitry,mjtamlyn,1
mjtamlyn,patrys,1
claudep,EmilStenstrom,1
EmilStenstrom,apollo13,1
apollo13,jezdez,5
jezdez,viciu,1
viciu,apollo13,1
apollo13,goinnn,4
claudep,jorgebastida,2
pyriku,mjtamlyn,3
mjtamlyn,nmundar,2
mjtamlyn,joeribekker,1
joeribekker,timgraham,1
charettes,bmispelon,1
charettes,dstufft,5
mjtamlyn,aaugustin,8
ptone,aaugustin,1
mjtamlyn,hrbonz,1
mfogel,alex,1
aaugustin,Bouke,1
dstufft,timgraham,2
toastdriven,carljm,8
jacobian,toastdriven,3
bmispelon,svisser,1
bmispelon,ptone,1
claudep,dstufft,1
svisser,aaugustin,1
carljm,alex,5
carljm,jezdez,1
jezdez,prestontimmons,1
prestontimmons,dstufft,1
charettes,hrbonz,2
charettes,zhenghao1,2
aaugustin,noirbizarre,2
ramiro,collinanderson,1
collinanderson,aaugustin,1
bmispelon,mrmachine,1
alex,mindsocket,1
carljm,manfre,2
timgraham,dlo,2
mjtamlyn,jstafford-rte,1
jstafford-rte,aaugustin,1
evildmp,kezabelle,3
kezabelle,timgraham,1
apollo13,krisys,1
krisys,timgraham,1
ramiro,unho,3
bmispelon,bak1an,1
bak1an,claudep,4
timgraham,noobiept,1
jezdez,sebleblanc,2
apollo13,matiasb,1
ptone,apollo13,1
alex,brendoncrawford,1
timgraham,benjiec,2
avelino,apollo13,1
carljm,grampajoe,1
grampajoe,charettes,1
ptone,timgraham,6
alex,dstufft,1
dstufft,mjtamlyn,2
claudep,vzima,1
ramiro,catalanojuan,1
catalanojuan,carljm,10
carljm,claudep,1
claudep,catalanojuan,1
charettes,floppya,2
jezdez,zerok,1
zerok,timgraham,1
mjtamlyn,yceruto,1
charettes,zalew,3
zalew,ramiro,1
liotcheg,bak1an,2
ryanisnan,jacobian,1
aaugustin,paulcollinsiii,3
paulcollinsiii,ptone,1
charettes,woodm1979,1
woodm1979,carljm,1
carljm,charettes,1
claudep,aaugustin,5
