from,to,weight
rafaelfranca,jeremy,1
pixeltrix,dnagir,2
jeremy,sikachu,2
pixeltrix,radar,2
dasch,jeremy,5
dmathieu,josevalim,44
sikachu,fxn,5
josevalim,thedarkone,3
dasch,josevalim,8
dmathieu,arunagw,9
josevalim,rafaelfranca,2
spastorino,josevalim,23
tenderlove,NZKoz,10
fxn,guilleiguaran,3
fxn,yfeldblum,1
josevalim,drogus,6
josevalim,strzalek,1
josevalim,pixeltrix,15
robertomiranda,guilleiguaran,1
guilleiguaran,spastorino,45
arunagw,guilleiguaran,16
dasch,rafaelfranca,2
spastorino,tenderlove,15
dnagir,dmathieu,1
pixeltrix,fxn,1
arunagw,fxn,1
dmathieu,pixeltrix,11
guilleiguaran,dmathieu,12
guilleiguaran,kennyj,29
dmathieu,fxn,9
kennyj,spastorino,4
guilleiguaran,drogus,1
fxn,josevalim,13
xuanxu,rafaelfranca,2
jonleighton,arunagw,14
jonleighton,amatsuda,1
josevalim,bcardarella,5
josevalim,josh,10
josh,dhh,1
josh,NZKoz,6
josevalim,dhh,12
spastorino,dmathieu,11
guilleiguaran,NZKoz,2
tenderlove,fxn,3
tenderlove,rubys,2
arunagw,dhh,1
josevalim,arunagw,29
tenderlove,bogdan,2
NZKoz,spastorino,1
pixeltrix,thedarkone,3
dmathieu,voxik,2
atambo,arunagw,1
kennyj,tenderlove,2
guilleiguaran,josh,7
dmathieu,bogdan,1
josevalim,bogdan,12
arunagw,kennyj,3
jonleighton,dhh,4
dasch,fxn,3
dhh,sikachu,5
dmathieu,siong1987,7
guilleiguaran,josevalim,27
tenderlove,pixeltrix,6
dmathieu,dasch,1
rubys,dhh,1
dhh,dmathieu,1
spastorino,jonleighton,12
jeremy,spastorino,3
jeremy,guilleiguaran,3
jeremy,arunagw,2
tenderlove,guilleiguaran,5
josevalim,jeremy,6
tenderlove,josevalim,18
pixeltrix,spastorino,5
sikachu,guilleiguaran,7
parndt,guilleiguaran,4
guilleiguaran,jonleighton,9
jeremy,fxn,1
josh,jeremy,1
exviva,jonleighton,2
fxn,mchung,1
sikachu,spastorino,2
tenderlove,ernie,6
yfeldblum,josevalim,1
spastorino,AndreyChernyh,3
myronmarston,dhh,7
tenderlove,dhh,2
sikachu,tenderlove,4
tenderlove,alindeman,1
amatsuda,sikachu,1
parndt,drogus,1
rafaelfranca,sobrinho,1
jonleighton,thedarkone,2
jonleighton,pixeltrix,21
gnufied,tenderlove,2
jonleighton,fxn,3
jonleighton,tenderlove,11
guilleiguaran,jrgifford,2
guilleiguaran,acesuares,1
vijaydev,asanghi,1
fxn,vijaydev,8
josevalim,amatsuda,6
jeremy,jonleighton,2
ernie,phene,2
jeremy,bogdan,6
NZKoz,josevalim,5
contentfree,jonleighton,1
pixeltrix,wildchild,3
tilsammans,fxn,1
josh,tenderlove,18
olivierlacan,spastorino,1
vijaydev,judearasu,4
spastorino,arunagw,11
hdiwan,arunagw,1
ryanb,josevalim,2
steveklabnik,rkh,2
vijaydev,spastorino,14
vijaydev,drogus,1
josevalim,xuanxu,1
parndt,tenderlove,1
vijaydev,guilleiguaran,8
vijaydev,sikachu,9
josevalim,sikachu,35
christos,fxn,2
josevalim,paneq,6
dmathieu,gucki,1
pixeltrix,gucki,1
arunagw,sikachu,8
josevalim,parndt,3
guilleiguaran,mjtko,6
mjtko,spastorino,15
jonleighton,ernie,3
slbug,tenderlove,4
slbug,jeremy,1
sikachu,sobrinho,1
spastorino,bogdan,4
