from,to,weight
brixen,dbussink,2
tmornini,dbussink,5
brixen,postmodern,1
dbussink,rkh,1
evanphx,brixen,9
rkh,evanphx,4
ileitch,brixen,1
kronos,dbussink,1
tmornini,brixen,7
dbussink,evanphx,15
evanphx,rue,8
rue,brixen,1
evanphx,chuckremes,2
chuckremes,dbussink,1
tmornini,evanphx,4
kronos,evanphx,14
evanphx,mattdaw,1
mattdaw,brixen,1
freeformz,brixen,1
brixen,kronos,1
marius,evanphx,1
dgtized,evanphx,4
gnufied,evanphx,1
antage,evanphx,1
kronos,evtuhovich,2
evanphx,godfat,1
evanphx,rb2k,2
seydar,evanphx,1
luislavena,evanphx,2
ujihisa,evanphx,1
tmornini,michaeledgar,1
michaeledgar,evanphx,1
rue,marius,1
evanphx,tomonacci,1
Tass,kronos,2
Tass,evanphx,1
Tass,luislavena,1
marcandre,evanphx,1
wycats,rkh,1
Tass,vlazar,1
vlazar,freeformz,1
evanphx,bkb,1
yfeldblum,kronos,1
evanphx,sdsykes,3
tmornini,wyhaines,1
eveel,evanphx,1
malu,evanphx,1
dbussink,mauricioszabo,2
evanphx,evtuhovich,2
evanphx,ybart,1
kstephens,evanphx,1
kstephens,dbussink,1
rb2k,igrigorik,1
igrigorik,evanphx,2
callmejoe,evanphx,1
callmejoe,Mazwak,1
Mazwak,evanphx,1
kronos,antage,1
antage,dbussink,1
kronos,rdp,3
rdp,dbussink,1
dbussink,mneumann,3
chuckremes,tmornini,1
khaled,dbussink,2
wvanbergen,kronos,6
wvanbergen,evanphx,1
dbussink,doudou,2
dbussink,stormbrew,1
stormbrew,evanphx,1
dbussink,orionz,4
evanphx,hurlon,1
hurlon,rue,1
harukizaemon,evanphx,2
evanphx,tobi,1
dbussink,tobi,1
dbussink,mattdaw,1
dbussink,companygardener,1
companygardener,evanphx,1
marcandre,mattdaw,1
jarnold,evanphx,1
evanphx,pem,1
jarnold,dbussink,1
tmornini,cezarsa,1
cezarsa,dbussink,1
brixen,philtomson,3
philtomson,rue,1
andrewhj,evanphx,1
stepheneb,evanphx,1
jamis,rkh,1
tmornini,jherdman,1
jherdman,engineyard,1
engineyard,evanphx,2
evanphx,jherdman,1
spovich,engineyard,1
orionz,epitron,1
epitron,evanphx,1
rue,tmornini,2
rue,isomorphisms,2
bernd,rubiojr,1
rubiojr,evanphx,1
evanphx,vito,1
vito,dbussink,1
boffbowsh,dbussink,1
tmornini,dgtized,2
andhapp,brixen,2
evanphx,keltia,1
keltia,brixen,1
harukizaemon,dbussink,1
burke,evanphx,1
ScottBrooks,evanphx,1
dgtized,brianmario,1
