from,to,weight
senny,robmc,1
senny,iwiznia,8
iwiznia,pftg,3
pftg,rafaelfranca,50
pftg,benpickles,1
benpickles,senny,1
senny,josevalim,14
pftg,TiagoCardoso1983,1
hitendrasingh,skorfmann,1
masterkain,rafaelfranca,4
rafaelfranca,iwiznia,3
senny,Bantik,2
senny,bogdan,3
senny,tenderlove,5
tenderlove,jarmo,1
jarmo,senny,4
pixeltrix,Saicheg,2
pftg,pixeltrix,8
pixeltrix,romainhaenni,1
senny,ulyssecarion,2
pftg,jjb,1
hitendrasingh,pixeltrix,1
pixeltrix,chebyte,3
chebyte,kylejginavan,2
chebyte,CraigCottingham,1
CraigCottingham,agustinvinao,1
agustinvinao,pixeltrix,1
pixeltrix,WizardOfOgz,3
senny,bpardee,1
josevalim,miry,1
brixen,razielgn,1
razielgn,dbussink,1
dbussink,tenderlove,1
tenderlove,razielgn,1
pftg,robin850,17
pftg,senny,56
pftg,iantropov,7
iantropov,al2o3cr,2
iantropov,indrekj,2
iantropov,robin850,2
arunagw,senny,38
senny,mvdamme,1
rafaelfranca,franasm,3
senny,jhirbour,3
jhirbour,rafaelfranca,1
pftg,JuanitoFatas,4
rafaelfranca,arthurnn,15
zzak,arunagw,1
arunagw,robin850,5
ataber,pixeltrix,1
pixeltrix,maheshguruswamy,1
rafaelfranca,websiteswithclass,1
websiteswithclass,senny,1
rafaelfranca,jeremy,24
jeremy,eykamp,1
eykamp,fxn,6
dmathieu,rafaelfranca,15
rafaelfranca,maveonair,1
rafaelfranca,jacob-carlborg,4
jacob-carlborg,dmathieu,2
dmathieu,GRoguelon,1
GRoguelon,senny,1
pftg,al2o3cr,3
al2o3cr,mhuggins,1
jeremy,strzalek,2
pftg,Intrepidd,7
senny,aripollak,1
aripollak,pftg,1
pftg,gunnarblom,1
pixeltrix,dnagir,2
guilleiguaran,jbaudanza,2
prathamesh-sonpatki,makaroni4,1
makaroni4,senny,5
makaroni4,egilburg,2
egilburg,senny,19
rafaelfranca,jarl-dk,5
sepastian,senny,5
robgleeson,pixeltrix,6
arthurnn,masterkain,5
arthurnn,pacoguzman,5
pacoguzman,masterkain,1
fxn,bf4,6
rafaelfranca,bf4,1
strzalek,pixeltrix,6
pixeltrix,tamird,5
tamird,strzalek,2
pixeltrix,rafaelfranca,25
rafaelfranca,dnagir,1
pftg,carlosparamio,1
carlosparamio,pixeltrix,2
senny,rafaelfranca,103
dnagir,pftg,5
mhuggins,akalyaev,1
akalyaev,robin850,2
robin850,mhuggins,2
robin850,starrychloe,1
rafaelfranca,airlok,1
airlok,pftg,6
iantropov,arthurnn,2
robin850,tadast,1
tadast,pftg,2
tadast,senny,2
tadast,route,1
arunagw,sol1dus,1
sol1dus,pixeltrix,1
vipulnsward,philfreo,4
jeremy,sikachu,1
sikachu,chancancode,1
chancancode,jeremy,13
prathamesh-sonpatki,francisgo,1
senny,fxn,39
fxn,ramysami,3
robin850,steveklabnik,20
steveklabnik,ProGNOMmers,2
ProGNOMmers,rafaelfranca,2
pftg,marclennox,1
senny,iantropov,2
robin850,senny,23
egilburg,arthurnn,1
ProGNOMmers,KyleMacey,1
KyleMacey,tadast,1
pixeltrix,ryana,1
robin850,egilburg,8
egilburg,idoo,1
idoo,senny,3
senny,francisgo,3
pixeltrix,radar,2
ctide,mpotter,1
mpotter,patrickberkeley,1
patrickberkeley,rafaelfranca,1
rafaelfranca,spastorino,11
spastorino,jbaudanza,1
guilleiguaran,chaffeqa,1
moonglum,rafaelfranca,4
senny,JuanitoFatas,17
egilburg,kennyj,7
kennyj,rafaelfranca,40
akalyaev,rafaelfranca,4
rafaelfranca,carlosparamio,1
akalyaev,gymmilo,1
gymmilo,senny,2
rafaelfranca,NZKoz,5
NZKoz,tjschuck,4
rafaelfranca,wangjohn,29
rafaelfranca,rubys,22
dasch,jeremy,2
pftg,tjschuck,1
tjschuck,jeremy,9
rafaelfranca,siong1987,1
siong1987,jeremy,1
jeremy,tvdeyen,1
tvdeyen,siong1987,1
steveklabnik,francisgo,2
sepastian,robin850,1
kennyj,toobulkeh,1
JuanitoFatas,rafaelfranca,2
tenderlove,nixme,1
rafaelfranca,nixme,1
nixme,marclennox,1
marclennox,rafaelfranca,9
senny,marclennox,3
gaurish,tjschuck,1
dmathieu,josevalim,1
rafaelfranca,srinu0541,1
srinu0541,dmathieu,2
srinu0541,robin850,1
BanzaiMan,NZKoz,9
BanzaiMan,headius,2
robin850,rafaelfranca,34
rafaelfranca,dalaca,1
mdrozdziel,rafaelfranca,1
rafaelfranca,nashby,4
rafaelfranca,gaurish,16
gaurish,akalyaev,1
gaurish,robin850,6
JuanitoFatas,fxn,1
robin850,CarolFS,2
lunks,rafaelfranca,9
robin850,erik-eide,1
erik-eide,gaurish,2
erik-eide,schneems,3
schneems,jeremy,1
jeremy,erik-eide,1
route,robin850,2
route,egilburg,2
robin850,nofxx,1
iamjarvo,robin850,1
route,hasanove,1
hasanove,take,1
take,route,1
bughit,route,1
erik-eide,kennyj,1
kennyj,mkarklins,4
bf4,senny,2
egilburg,rafaelfranca,35
pixeltrix,kennyj,6
rafaelfranca,bogdan,15
bogdan,britto,1
britto,sheerun,1
sheerun,bogdan,1
rafaelfranca,sikachu,15
sikachu,fxn,3
fxn,rafaelfranca,26
arthurnn,bogdan,1
bogdan,pftg,1
josevalim,thedarkone,1
thedarkone,dasch,2
dasch,josevalim,5
vijaydev,JuanitoFatas,1
JuanitoFatas,arunagw,2
dmathieu,parabuzzle,3
kennyj,DonGiulio,4
spastorino,JuanitoFatas,2
zzak,rafaelfranca,22
fxn,ricardokdz,1
dmathieu,alexspeller,4
dmathieu,drogus,2
dmathieu,steveklabnik,3
dmathieu,arunagw,1
kennyj,lassebunk,1
arcz,dmathieu,1
Kosmas,dmathieu,1
vipulnsward,dogweather,2
vipulnsward,arunagw,1
egilburg,inossidabile,1
angelo0000,wenchaojiang,1
wenchaojiang,elirantu,1
elirantu,angelo0000,1
josevalim,rafaelfranca,10
spastorino,josevalim,5
hitendrasingh,kennyj,1
robin850,vipulnsward,6
vipulnsward,pftg,5
vipulnsward,rds13,1
rds13,tenderlove,1
tenderlove,NZKoz,3
tenderlove,jeremy,1
jeremy,BanzaiMan,1
rafaelfranca,dejan,2
iamjarvo,brightbits,1
brightbits,robin850,2
robin850,kennyj,2
SamSaffron,spastorino,3
pftg,jbirdjavi,1
gaurish,alberto,1
alberto,robin850,1
rafaelfranca,alberto,4
rafaelfranca,georgiev,18
rafaelfranca,joshjordan,2
pftg,yahonda,3
steveklabnik,ekremkrc,2
robin850,ruben,2
chancancode,danielmorrison,1
danielmorrison,ersatzryan,1
ersatzryan,chancancode,5
steveklabnik,adomokos,4
fredwu,senny,2
fredwu,pftg,1
ekampp,robin850,3
altmind,pftg,2
altmind,wenchaojiang,4
pftg,dv,1
dv,robin850,1
senny,dv,4
pftg,anupamc,2
pftg,suginoy,3
pftg,chancancode,2
chancancode,rafaelfranca,2
rafaelfranca,gregorym,2
altmind,sfgeorge,1
mjhoy,rafaelfranca,7
bernardogalindo,rafaelfranca,10
bernardogalindo,3zcurdia,1
3zcurdia,rafaelfranca,1
rafaelfranca,judith,1
Hamled,tomjakubowski,1
tomjakubowski,rafaelfranca,1
chancancode,carlosantoniodasilva,2
josevalim,anupamc,1
anupamc,rafaelfranca,2
rafaelfranca,ysksn,1
h-lame,pftg,5
carlosantoniodasilva,bughit,2
bughit,steveklabnik,6
steveklabnik,fxn,36
fxn,bughit,5
bughit,thedarkone,1
vipulnsward,rafaelfranca,56
rafaelfranca,ernie,4
ernie,thedarkone,1
pftg,nesrual,1
SamSaffron,egilburg,3
SamSaffron,tenderlove,9
tenderlove,carlosantoniodasilva,4
carlosantoniodasilva,SamSaffron,2
SamSaffron,parndt,5
parndt,rafaelfranca,5
steveklabnik,lengarvey,1
lengarvey,baroquebobcat,1
baroquebobcat,yfeldblum,1
yfeldblum,SamSaffron,1
carlosantoniodasilva,rafaelfranca,58
rafaelfranca,SamSaffron,12
SamSaffron,pftg,1
pftg,arthurnn,2
steveklabnik,waynn,3
fxn,waynn,3
anime4christ,rafaelfranca,3
spastorino,wangjohn,14
arunagw,carlosantoniodasilva,19
vesan,pftg,1
pftg,matiaskorhonen,2
pftg,steveklabnik,22
steveklabnik,matiaskorhonen,3
matiaskorhonen,rafaelfranca,3
matiaskorhonen,robin850,3
robin850,arthurnn,2
matiaskorhonen,fxn,1
pftg,siong1987,1
siong1987,vipulnsward,2
siong1987,steveklabnik,2
steveklabnik,rafaelfranca,68
carlosantoniodasilva,cannie,1
rajcybage,steveklabnik,2
steveklabnik,rywall,1
rajcybage,vicentllongo,2
rajcybage,rafaelfranca,6
egilburg,fxn,4
fxn,guilleiguaran,3
fxn,yfeldblum,1
yfeldblum,thegrubbsian,1
thegrubbsian,guilleiguaran,1
guilleiguaran,wangjohn,8
khustochka,emclab,5
josevalim,drogus,1
drogus,rafaelfranca,7
senny,guilleiguaran,7
robin850,rywall,2
rajcybage,benhamill,1
pftg,bcardarella,1
bcardarella,danmcclain,1
danmcclain,rafaelfranca,4
steveklabnik,aspiers,1
robin850,aspiers,1
pftg,Exoth,11
Exoth,robin850,2
Exoth,rafaelfranca,2
senny,onomojo,1
senny,carlosantoniodasilva,108
carlosantoniodasilva,soundarapandian,1
soundarapandian,rajcybage,6
rajcybage,senny,4
senny,soundarapandian,5
soundarapandian,rafaelfranca,2
gouravtiwari,georgiev,5
georgiev,robin850,1
robin850,gouravtiwari,1
gouravtiwari,al2o3cr,1
al2o3cr,georgiev,1
georgiev,hitendrasingh,2
hitendrasingh,gouravtiwari,1
gouravtiwari,rafaelfranca,1
hitendrasingh,dguti,1
dguti,aaron,2
robin850,lann,1
lann,rafaelfranca,1
pftg,claudiob,1
claudiob,steveklabnik,3
steveklabnik,piinecone,1
piinecone,claudiob,1
claudiob,robin850,2
claudiob,guilleiguaran,2
guilleiguaran,robin850,8
guilleiguaran,rafaelfranca,32
rafaelfranca,claudiob,4
robin850,dylanahsmith,1
dylanahsmith,rafaelfranca,3
steveklabnik,graywh,1
josevalim,strzalek,9
thedarkone,rafaelfranca,9
rafaelfranca,jrochkind,1
rajcybage,egilburg,2
momer,TiagoCardoso1983,1
steveklabnik,TiagoCardoso1983,1
versioncontrol,pseidemann,5
robin850,buschhardt,1
buschhardt,kennyj,1
egilburg,adamniedzielski,3
adamniedzielski,carlosantoniodasilva,2
adamniedzielski,pftg,4
pftg,emassip,2
robin850,kares,5
robin850,carlosantoniodasilva,10
carlosantoniodasilva,kares,2
robin850,jemc,2
robin850,tenderlove,2
tenderlove,jemc,1
robin850,mediaslave24,2
rafaelfranca,hartator,1
pftg,LoveIsGrief,1
LoveIsGrief,rajcybage,1
robin850,Mstrymt,5
steveklabnik,zzz6519003,1
claudiob,BMorearty,1
kares,rafaelfranca,2
rafaelfranca,kassio,2
kassio,kares,1
pftg,brocktimus,1
brocktimus,steveklabnik,4
robin850,vanboom,1
vanboom,rafaelfranca,2
carlosantoniodasilva,rywall,1
rywall,danfinnie,1
danfinnie,egilburg,1
egilburg,rywall,2
rywall,njakobsen,1
njakobsen,egilburg,2
pftg,egilburg,9
egilburg,unorthodoxgeek,1
unorthodoxgeek,pftg,4
pftg,AvnerCohen,5
AvnerCohen,gsamokovarov,2
AvnerCohen,pixeltrix,1
gzohari,spastorino,2
gzohari,sikachu,1
sikachu,Ben-M,1
vipulnsward,BlueHotDog,1
BlueHotDog,prathamesh-sonpatki,2
BlueHotDog,senny,5
steveklabnik,estsauver,2
pftg,dabit,1
josevalim,garysweaver,3
garysweaver,steveklabnik,3
robin850,smolnar,1
smolnar,gardenofwine,3
gardenofwine,egilburg,1
egilburg,smolnar,1
provideal,Mario1988,1
Mario1988,Kleinitay,1
Kleinitay,njakobsen,1
robin850,Crunch09,3
Crunch09,frodsan,1
frodsan,Vetal4eg,1
Vetal4eg,yusuket,1
yusuket,Crunch09,1
Crunch09,dmathieu,1
dmathieu,toreriklinnerud,1
prathamesh-sonpatki,carlosantoniodasilva,10
prathamesh-sonpatki,spastorino,5
thedarkone,benweint,1
benweint,rosenfeld,1
prathamesh-sonpatki,Gaelan,1
Gaelan,carlosantoniodasilva,1
egilburg,charliesome,1
charliesome,SamSaffron,1
steveklabnik,guilleiguaran,9
egilburg,strzalek,7
strzalek,drogus,9
drogus,vipulnsward,4
strzalek,gsamokovarov,2
strzalek,spastorino,9
kares,kenips,1
vipulnsward,akshaymankar,1
akshaymankar,hpathan,1
soundarapandian,thedarkone,1
thedarkone,kwando,1
kwando,rafaelfranca,1
rafaelfranca,laurocaetano,2
pftg,rajcybage,8
rajcybage,schuetzm,1
schuetzm,senny,2
vipulnsward,kares,1
kares,pftg,2
senny,kares,2
pftg,bcherry,1
bcherry,pixeltrix,6
robin850,hderms,1
hderms,egilburg,2
senny,vipulnsward,41
fxn,garysweaver,3
garysweaver,vipulnsward,3
garysweaver,robin850,1
pftg,aug-riedinger,1
aug-riedinger,rafaelfranca,7
robin850,Gazal24,1
robin850,ctide,6
ctide,thibaudgg,2
ctide,jbaudanza,1
jbaudanza,robin850,1
guilleiguaran,woto,1
carlosantoniodasilva,carolinemota,1
pftg,hornairs,1
hornairs,ryansch,1
senny,garysweaver,2
03199618,nertzy,1
strzalek,steveklabnik,17
pftg,International,1
pftg,shernade,1
pftg,ahacking,1
ahacking,robin850,1
carlosantoniodasilva,ahacking,1
rafaelfranca,firien,1
roderickvd,tenderlove,2
robin850,josevalim,4
robin850,kirs,1
kirs,borisd,1
borisd,tak0303,2
borisd,steveklabnik,1
steveklabnik,pixeltrix,19
pixeltrix,borisd,2
robin850,GeekOnCoffee,1
GeekOnCoffee,lukfugl,1
pftg,codezomb,1
codezomb,500tech,1
steveklabnik,bronson,1
steveklabnik,wangjohn,15
caiqinghua,steveklabnik,1
semaperepelitsa,senny,1
senny,d4be4st,2
carlosantoniodasilva,razielgn,2
senny,prathamesh-sonpatki,41
robin850,Altonymous,2
prathamesh-sonpatki,robin850,6
fxn,robin850,17
robin850,fedesoria,1
fedesoria,fxn,1
lmarcetic,pftg,1
njakobsen,rafaelfranca,5
josevalim,pixeltrix,5
dimko,farnoy,1
farnoy,rafaelfranca,2
farnoy,senny,2
