from,to,weight
jc00ke,dbussink,4
brixen,dbussink,2
jc00ke,brixen,12
dbussink,guilleiguaran,1
guilleiguaran,brixen,6
dbussink,cypher,2
dbussink,michaelklishin,3
tmornini,dbussink,1
brixen,postmodern,1
steveklabnik,brixen,3
agrimm,headius,1
dbussink,hosiawak,1
hosiawak,brixen,1
evanphx,brixen,5
rkh,evanphx,8
brixen,rkh,1
brixen,drbrain,1
dbussink,jmstacey,1
headius,brixen,1
ileitch,brixen,5
brixen,ddd,1
brixen,flavio,1
dbussink,steveklabnik,1
jc00ke,evanphx,8
dbussink,headius,1
evanphx,arthurschreiber,1
dbussink,luislavena,1
tmornini,brixen,1
burningTyger,argent-smith,7
luislavena,brixen,1
dbussink,evanphx,6
dbussink,burningTyger,1
cheba,evanphx,2
txus,evanphx,1
rue,brixen,2
jc00ke,Gibheer,1
brixen,michaelklishin,3
brixen,phiggins,4
evanphx,chuckremes,6
evanphx,headius,16
jfirebaugh,brixen,6
tmornini,evanphx,8
dbussink,cordawyn,1
dbussink,justinmcp,1
dbussink,carols10cents,1
carols10cents,jc00ke,1
brixen,cwgem,4
larskanis,brixen,3
steveklabnik,krekoten,1
tarcieri,evanphx,2
guilleiguaran,evanphx,1
rue,obrok,4
headius,xaviershay,2
xaviershay,evanphx,3
guilleiguaran,leocassarani,2
abyx,davorb,1
davorb,jtdowney,1
gmile,leocassarani,1
jc00ke,jtdowney,5
evanphx,davorb,1
davorb,jc00ke,3
dbussink,krekoten,7
krekoten,rue,1
rue,schmurfy,1
davorb,jfirebaugh,2
headius,steveklabnik,1
steveklabnik,obrok,1
abyx,suchasurge,1
rue,nevir,2
rue,jtdowney,1
drbrain,obrok,1
xrl,guilleiguaran,1
dbussink,jtdowney,5
obrok,burningTyger,2
dbussink,bklang,2
semmons99,rkh,1
rue,Gonzih,3
brixen,trapni,1
trapni,phiggins,3
Gonzih,semmons99,2
dbussink,Gonzih,1
rue,abyx,2
rue,carsonmcdonald,2
rue,frasca,1
rue,AndrewVos,1
guilleiguaran,abyx,2
carlosgaldino,jish,2
jish,abyx,2
dbussink,robertzx,1
brixen,charlietanksley,2
abyx,dbussink,1
burningTyger,charlietanksley,1
charlietanksley,dbussink,2
semmons99,abyx,2
dbussink,gnufied,1
gnufied,cookrn,1
dbussink,ctoneal,4
rue,steveklabnik,2
carlosgaldino,abyx,3
steveklabnik,burningTyger,1
burningTyger,nazgob,1
locks,subwindow,2
subwindow,ctoneal,1
ctoneal,steveklabnik,1
yipdw,DanielHeath,1
steveklabnik,xenda,2
xenda,brixen,1
brixen,subwindow,1
brixen,xaviershay,3
drbrain,p8,1
p8,rue,1
burningTyger,slawosz,1
slawosz,brixen,1
michaelklishin,evanphx,3
rue,dbussink,1
rue,locks,1
dbussink,jergason,1
evanphx,marekjelen,2
rejeep,dbussink,2
steveklabnik,evanphx,2
brixen,dstrelau,3
dstrelau,ileitch,3
rue,wayneeseguin,2
brixen,rejeep,1
steveklabnik,whitequark,1
evanphx,mitchellh,1
jc00ke,rakaur,1
rakaur,cwgem,1
evanphx,mrb,1
jonforums,Zoxc,2
jonforums,luislavena,6
evanphx,hosiawak,2
jc00ke,vpereira,2
jc00ke,michaelklishin,6
jc00ke,mperham,1
jc00ke,jonforums,2
jonforums,brixen,1
evanphx,argent-smith,2
michaelklishin,guilleiguaran,5
nazgob,jgaskins,4
headius,santosh79,1
santosh79,dbussink,1
michaelklishin,wjbuys,2
michaelklishin,mitchellh,1
johnmuhl,dbussink,2
steveklabnik,txus,3
jc00ke,wjbuys,1
mvz,brixen,1
brixen,yob,2
jc00ke,tmoskun,1
brixen,wr0ngway,3
evanphx,nasser,1
nasser,gaffo,1
evanphx,ajsharp,1
IPGlider,carlhoerberg,1
carlhoerberg,jc00ke,1
jc00ke,postmodern,1
darkshadow,jc00ke,2
dbussink,DAddYE,4
DAddYE,miles,1
miles,dkubb,1
dkubb,carlhoerberg,1
dbussink,diasjorge,1
evanphx,conradwt,2
dbussink,jwang,3
hosiawak,cheba,1
nazgob,chickenkiller,3
headius,ghazel,7
ghazel,brixen,2
jc00ke,jwang,2
jc00ke,ghost,3
brixen,chickenkiller,2
raluxgaza,lgierth,2
raluxgaza,dbussink,1
nazgob,raluxgaza,1
evanphx,emachnic,2
dbussink,khellan,1
evanphx,nazgob,2
evanphx,dje,2
chickenkiller,bakkdoor,2
bakkdoor,jasonroelofs,2
jasonroelofs,chickenkiller,3
chickenkiller,nasser,8
headius,rkh,1
rkh,tmornini,1
headius,flavio,2
evanphx,dmacvicar,1
maspwr,evanphx,2
malu,burningTyger,1
bkm-mahashoy,dbussink,1
jaggederest,evanphx,1
headius,abyx,1
headius,wsclock,1
evanphx,batasrki,3
batasrki,britto,1
britto,kuntoaji,1
kuntoaji,steveklabnik,1
diasjorge,evanphx,3
headius,ko1,3
ko1,evanphx,2
brixen,meh,3
brixen,rodrigoflores,4
agrimm,evanphx,1
cmeiklejohn,evanphx,2
luislavena,semmons99,4
semmons99,brixen,2
evanphx,Spakman,1
evanphx,postmodern,1
txus,malu,2
txus,presidentbeef,1
ko1,dbussink,1
headius,aubergene,4
headius,pgrzegorczyk,1
pgrzegorczyk,hosiawak,1
hosiawak,aubergene,5
chrisharper,bartocc,1
arthurschreiber,wayneeseguin,1
wayneeseguin,argent-smith,1
argent-smith,jc00ke,1
jc00ke,arthurschreiber,1
evanphx,moonglum,1
riffraff,michaelklishin,1
michaelklishin,bartocc,1
bartocc,brixen,2
goyox86,brixen,1
DAddYE,chuckremes,2
DAddYE,brixen,3
headius,arthurschreiber,1
arthurschreiber,brixen,1
jyurek,evanphx,12
jyurek,tmornini,1
steveklabnik,tanzeeb,2
hosiawak,banister,1
banister,rue,1
luislavena,jc00ke,2
jc00ke,lgierth,1
lgierth,luislavena,1
