from,to,weight
josevalim,drogus,2
josevalim,MSch,1
josevalim,ernie,7
josevalim,iain,4
josevalim,davout,1
josevalim,starpeak,7
sikachu,mikel,2
gnufied,josevalim,1
josevalim,krekoten,1
josevalim,Soleone,1
Soleone,bensie,1
bensie,loe,1
loe,iain,1
iain,miloops,2
josevalim,JustinCampbell,2
davout,JustinCampbell,2
josevalim,gramos,1
gramos,bkeepers,1
hosiawak,gramos,1
gucki,jfirebaugh,1
mikel,gramos,2
fxn,mikel,2
fxn,squadette,2
jfirebaugh,loe,1
mikel,josevalim,4
mikel,acatighera,1
josevalim,siong1987,1
mikel,drogus,2
mikel,grzegorzkazulak,1
grzegorzkazulak,pch,1
dtrasbo,brianmario,1
brianmario,sferik,1
dasch,mikel,1
mikel,marsuboss,2
mikel,pixeltrix,1
