from,to,weight
parkr,agat366,4
jaybe-jekyll,parkr,7
parkr,blackjid,5
blackjid,jaybe-jekyll,2
blackjid,cobyism,1
parkr,ynnckhmls,3
ynnckhmls,troyswanson,1
kizu,parkr,1
parkr,Varya,7
parkr,ssaunier,1
parkr,bricejlin,2
parkr,benbalter,29
parkr,mattr-,96
maul-esel,kelvinst,3
kelvinst,mattr-,17
sferik,parkr,6
parkr,maul-esel,78
parkr,mwcz,2
sferik,gettalong,1
gettalong,parkr,1
parkr,troyswanson,21
troyswanson,sferik,1
sferik,mattr-,1
parkr,mcmire,2
parkr,bringel,2
parkr,kelvinst,25
donatj,troyswanson,7
troyswanson,mattr-,9
penibelst,parkr,56
parkr,cmwalsh,2
parkr,fxn,1
fxn,mattr-,1
maul-esel,IQAndreas,2
parkr,dchest,1
mattr-,IQAndreas,2
parkr,matt-hickford,1
matt-hickford,mattr-,1
parkr,zachgersh,22
zachgersh,edgenard,1
parkr,jhauraw,9
jhauraw,maul-esel,2
parkr,silvenon,3
mattr-,Aptary,2
zachgersh,maul-esel,7
maul-esel,mattr-,36
maul-esel,bensonshaji,5
bensonshaji,parkr,5
maul-esel,Heliosmaster,7
parkr,Heliosmaster,2
Heliosmaster,mattr-,1
benbalter,mattr-,7
parkr,jsw0528,3
mattr-,jsw0528,1
Haixing-Hu,parkr,3
ttunguz,parkr,3
parkr,pollensoft,3
parkr,mattwillmott,8
parkr,RGBboy,2
penibelst,Ahti,1
Ahti,maul-esel,1
parkr,mgp,3
penibelst,mgp,2
maul-esel,Jezen,1
coveralls,maul-esel,5
maul-esel,1110624,1
1110624,parkr,1
troyswanson,maul-esel,5
maul-esel,penibelst,18
parkr,zerobase,2
jaybe-jekyll,mattr-,2
parkr,internaciulo,5
PeteMichaud,mattr-,3
mattr-,silvenon,1
silvenon,eddieh,1
eddieh,zerobase,1
PeteMichaud,maul-esel,1
kelvinst,penibelst,3
penibelst,mattr-,22
mattr-,muan,2
muan,Technika,1
Technika,parkr,1
parkr,drewish,1
drewish,muan,1
mattr-,maun,1
parkr,PeteMichaud,1
penibelst,troyswanson,8
sondr3,parkr,1
internaciulo,mattr-,4
internaciulo,sondr3,2
internaciulo,troyswanson,4
parkr,liufengyun,19
liufengyun,swanson,1
swanson,parkr,4
mattr-,swanson,3
kelvinst,benbalter,3
kelvinst,ttimsmith,2
benbalter,penibelst,5
mattr-,ttimsmith,2
parkr,zhiyuanshi,2
parkr,sk4p,8
parkr,claman,9
coveralls,robwierzbowski,1
robwierzbowski,parkr,3
robwierzbowski,migreyes,1
migreyes,parkr,1
mattr-,coveralls,1
parkr,coveralls,1
coveralls,penibelst,1
parkr,AntoineBoulanger,1
AntoineBoulanger,yizeng,1
skopp,parkr,7
gummesson,parkr,1
parkr,daldew,2
parkr,pathawks,4
benbalter,maul-esel,3
parkr,qxlab,6
mattr-,qxlab,1
parkr,mroderick,2
skopp,koron,5
skopp,shigeya,1
ttimsmith,penibelst,2
parkr,ttimsmith,1
mattr-,kevinSuttle,5
parkr,kevinSuttle,11
parkr,netsi1964,1
netsi1964,troyswanson,1
FellowMD,parkr,2
parkr,zsiegel,2
zsiegel,mattr-,2
benbalter,FellowMD,2
FellowMD,mattr-,3
penibelst,scribu,7
scribu,parkr,2
scribu,benbalter,5
scribu,FellowMD,3
parkr,AJ-Acevedo,2
penibelst,petroleumjelliffe,1
petroleumjelliffe,parkr,6
mattr-,dafi,1
parkr,dafi,2
ixti,mattr-,2
shigeya,mattr-,14
shigeya,mattn,6
mattn,mattr-,3
shigeya,parkr,15
mattn,parkr,8
shigeya,penibelst,4
parkr,rzhw,1
hemanth,skopp,1
skopp,mattr-,1
kelvinst,chrisnicotera,6
parkr,ddavison,11
ddavison,mattr-,3
ddavison,ixti,2
maul-esel,ddavison,1
benbalter,skopp,1
skopp,allthelucky,1
parkr,bdesham,3
maul-esel,Tanner,1
gummesson,cf-ssharma,1
kelvinst,jwinter,1
jwinter,parkr,1
maul-esel,Zearin,1
Zearin,parkr,1
parkr,LaurentGoderre,2
maul-esel,pathawks,1
pathawks,mattr-,1
kelvinst,koron,1
parkr,diegolameira,1
mattr-,robin850,1
robin850,penibelst,1
parkr,josegonzalez,1
parkr,Ypnose,2
parkr,GSI,1
GSI,mattr-,1
parkr,reggi,4
SLaks,parkr,5
kevingimbel,parkr,2
parkr,sebastianw,2
sebastianw,demifiend,1
demifiend,brooksgarrett,1
brooksgarrett,parkr,4
sebastianw,brooksgarrett,1
