from,to,weight
gavinwahl,mjtamlyn,2
wckd,timgraham,1
alex,lukaszb,4
charettes,lukaszb,3
mjtamlyn,alex,1
alex,charettes,1
lukaszb,claudep,2
mjtamlyn,lukaszb,4
alex,patrys,1
mjtamlyn,AndreaCrotti,2
rfkrocktk,timgraham,1
timgraham,patrys,4
ambv,pyriku,5
Jajcus,patrys,1
alex,bmispelon,1
bmispelon,sicarrots,1
sicarrots,alex,2
sicarrots,timgraham,1
mjtamlyn,frog32,2
vdboor,timgraham,1
bmispelon,danielquinn,4
jgeskens,loic,1
mjtamlyn,niconoe,1
niconoe,timgraham,1
mjtamlyn,sicarrots,7
lqc,jgasteiz,1
jgasteiz,timgraham,1
agafonovdmitry,mjtamlyn,1
mjtamlyn,patrys,1
claudep,EmilStenstrom,1
EmilStenstrom,apollo13,1
apollo13,jezdez,1
jezdez,viciu,1
viciu,apollo13,1
apollo13,goinnn,1
claudep,jorgebastida,2
pyriku,mjtamlyn,3
mjtamlyn,nmundar,2
mjtamlyn,joeribekker,1
joeribekker,timgraham,1
charettes,bmispelon,1
charettes,dstufft,5
mjtamlyn,aaugustin,3
ptone,aaugustin,1
charettes,aptiko,1
mjtamlyn,hrbonz,1
mfogel,alex,1
aaugustin,Bouke,1
dstufft,timgraham,1
toastdriven,carljm,8
jacobian,toastdriven,3
bmispelon,svisser,1
bmispelon,ptone,1
claudep,dstufft,1
svisser,aaugustin,1
carljm,alex,2
carljm,jezdez,1
jezdez,prestontimmons,1
prestontimmons,dstufft,1
charettes,zhenghao1,1
aaugustin,noirbizarre,2
ramiro,collinanderson,1
collinanderson,aaugustin,1
alex,mindsocket,1
timgraham,dlo,2
kezabelle,timgraham,1
krisys,timgraham,1
ramiro,unho,3
unho,mjtamlyn,1
timgraham,noobiept,1
apollo13,matiasb,1
timgraham,benjiec,2
ptone,timgraham,1
claudep,vzima,1
jezdez,zerok,1
zerok,timgraham,1
zalew,ramiro,1
becomingGuru,timgraham,1
tadeck,timgraham,1
charettes,acdha,7
timgraham,acdha,1
streeter,timgraham,1
apollo13,bhuztez,1
bhuztez,timgraham,1
timgraham,Natim,2
timgraham,pedromagnus,3
dokterbob,timgraham,2
fhahn,timgraham,2
yarbelk,mpessas,1
timgraham,josven,2
jblaine,timgraham,3
charettes,areski,1
wgx731,timgraham,1
timgraham,yueyoum,1
yueyoum,anderspetersson,1
anderspetersson,timgraham,1
cato-,timgraham,1
vartagg,timgraham,1
timgraham,kennknowles,1
pricco,timgraham,1
KrzysiekJ,niwibe,1
nijel,timgraham,4
lborgav,timgraham,2
lborgav,claudep,1
apollo13,pyriku,1
robert-j-engdahl,timgraham,1
ptone,areski,1
areski,crodjer,4
crodjer,timgraham,4
areski,mjtamlyn,1
mjtamlyn,crodjer,1
timgraham,teferi,2
timgraham,alexhayes,1
miracle2k,timgraham,1
rybaktomasz,galuszkak,1
galuszkak,timgraham,1
apollo13,ramiro,1
Vienzzion,timgraham,1
helber,jevonearth,1
jevonearth,timgraham,1
akaariai,shaib,1
andrewgodwin,shaib,21
holdenweb,alex,1
alex,brosner,1
brosner,andrewgodwin,1
apollo13,andrewgodwin,3
shaib,charettes,3
andrewgodwin,charettes,3
andrewgodwin,carljm,4
mjtamlyn,bradleywright,1
bradleywright,user52,1
user52,fatbusinessman,1
fatbusinessman,jlipps,1
jlipps,foresmac,1
freakboy3742,mrmachine,1
berkerpeksag,apollo13,1
ptone,claudep,1
mcrute,timgraham,1
anton-ryzhov,mjtamlyn,1
timgraham,anton-ryzhov,1
selwin,timgraham,1
dmishe,timgraham,2
dekkers,galuszkak,2
dekkers,mjtamlyn,1
dbrgn,timgraham,1
timgraham,cobalys,1
cobalys,mjtamlyn,1
dreynolds,Natim,1
Natim,rochacbruno,4
Natim,apollo13,2
apollo13,rochacbruno,2
