from,to,weight
razielgn,dbussink,2
jc00ke,dbussink,12
robgleeson,YorickPeterse,1
brixen,dbussink,29
mpapis,brixen,2
dkubb,dbussink,2
dbussink,sferik,4
dbussink,sodabrew,1
brixen,kachick,8
jc00ke,brixen,16
meskyanichi,dbussink,2
dbussink,kachick,22
kachick,robgleeson,1
utenmiki,brixen,1
jc00ke,razielgn,2
robgleeson,dbussink,5
leocassarani,dbussink,2
kachick,leocassarani,2
brixen,robgleeson,1
dbussink,YorickPeterse,4
jc00ke,kachick,7
dbussink,guilleiguaran,1
dbussink,hron84,19
brixen,jeremyvdw,1
jc00ke,leocassarani,3
dbussink,michaelklishin,9
tmornini,dbussink,5
brixen,postmodern,3
jc00ke,ryoqun,1
dbussink,ryoqun,20
brainopia,dbussink,5
dbussink,LTe,13
dbussink,digitalextremist,26
leocassarani,mortice,1
dbussink,duyleekun,2
iainbeeston,eriwen,2
dbussink,martinffx,4
dbussink,eraserewind,9
eraserewind,Gibheer,1
Gibheer,dbussink,11
dbussink,Jud,1
dbussink,rhomeister,1
rhomeister,jc00ke,2
dbussink,tsion,9
digitalextremist,robgleeson,3
dbussink,halorgium,1
kgrz,leocassarani,2
kachick,agrimm,1
dbussink,brianmario,1
carlosgaldino,kachick,5
agrimm,headius,1
digitalextremist,jc00ke,2
leocassarani,burningTyger,1
rkh,parndt,1
parndt,dbussink,5
dbussink,lexmag,2
dbussink,Rotonen,5
dbussink,etehtsea,7
etehtsea,zhando,1
whitequark,tsion,1
tsion,leocassarani,1
ileitch,dbussink,5
dbussink,qqshfox,2
meskyanichi,benweint,1
Locke23rus,Antti,2
Locke23rus,robgleeson,1
robgleeson,Antti,2
dbussink,Antti,4
leocassarani,manveru,1
manveru,dbussink,1
radicaled,jc00ke,1
dbussink,ConradIrwin,1
wilson,dbussink,1
dbussink,warrenseen,8
warrenseen,brixen,1
dbussink,masterkain,2
carlosgaldino,dbussink,5
brixen,scottshea,6
carlosgaldino,stouset,1
stouset,robgleeson,2
stouset,dbussink,1
dbussink,wulftone,3
Locke23rus,ryoqun,1
YorickPeterse,ryoqun,2
robgleeson,ryoqun,1
wilson,utenmiki,1
utenmiki,ryoqun,2
Gibheer,hron84,1
hron84,cheba,1
cheba,brixen,3
brixen,hron84,15
dbussink,radicaled,3
halorgium,stouset,6
halorgium,robgleeson,2
dbussink,lmars,5
dbussink,hosiawak,6
dbussink,michaelglass,1
hosiawak,brixen,4
sheerun,dbussink,1
brainopia,brixen,1
samflores,dbussink,7
dbussink,scottshea,5
dbussink,dotmaster,3
dbussink,jamesotron,4
evanphx,sempervictus,1
sempervictus,rkh,1
rkh,giuffresoft79,1
giuffresoft79,dbussink,4
Peeja,dbussink,6
jamesotron,stouset,4
brixen,agrimm,2
evanphx,brixen,4
brixen,stouset,1
brixen,sdaubert,5
dbussink,sdaubert,25
dbussink,presidentbeef,5
tank-bohr,dbussink,12
mitchellh,jc00ke,1
jc00ke,chuckremes,2
tonysidaway,dbussink,10
dbussink,ashmoran,2
jamesotron,brixen,1
sdaubert,hron84,2
dbussink,Stormwind,3
dbussink,ttilley,1
ttilley,tmornini,1
brixen,DanielVartanov,10
jc00ke,DanielVartanov,1
brixen,dwbutler,9
mpapis,dwbutler,3
brixen,sempervictus,6
sempervictus,subwindow,2
kachick,Peeja,3
stouset,sempervictus,2
brixen,thedarkone,9
thedarkone,stouset,1
dbussink,kritik,2
sempervictus,Gibheer,1
Gibheer,stouset,1
Peeja,sheerun,3
dbussink,DanielVartanov,1
brixen,nibua-r,6
nibua-r,dbussink,2
nibua-r,robgleeson,4
jc00ke,ProGNOMmers,3
dbussink,tpitale,3
jc00ke,robgleeson,2
robgleeson,Gibheer,1
Gibheer,meskyanichi,1
meskyanichi,jc00ke,1
dbussink,rjsamson,5
rjsamson,brixen,1
brixen,alex,2
dbussink,tarcieri,1
hosiawak,Gibheer,1
Gibheer,ttilley,2
warrenseen,frodsan,1
kritik,frodsan,2
jc00ke,frodsan,9
dbussink,frodsan,16
brixen,ttilley,1
frodsan,parndt,1
rkh,evanphx,1
brixen,rkh,5
robgleeson,rkh,1
brixen,ddfreyne,1
steveklabnik,jc00ke,1
guilleiguaran,frodsan,1
dbussink,benekastah,2
brixen,kbaum,1
dbussink,sempervictus,2
robgleeson,wilson,1
wilson,mortice,1
mortice,rkh,1
rkh,jgaskins,1
jgaskins,mortice,1
mortice,dbussink,1
dbussink,jgaskins,1
jgaskins,drbrain,1
drbrain,dbussink,1
brixen,drbrain,3
drbrain,thedarkone,1
benlangfeld,dbussink,6
frodsan,robgleeson,2
Gibheer,brixen,3
brixen,stuartnelson3,1
frodsan,jmstacey,2
jc00ke,kungfumike,5
kungfumike,brixen,1
jc00ke,mrb,1
mrb,kungfumike,1
