from,to,weight
arunagw,senny,1
rafaelfranca,jeremy,2
jeremy,sikachu,6
rafaelfranca,spastorino,4
kennyj,rafaelfranca,10
rafaelfranca,NZKoz,1
dasch,jeremy,5
dmathieu,josevalim,3
rafaelfranca,nashby,4
rafaelfranca,sikachu,3
sikachu,fxn,1
fxn,rafaelfranca,5
dasch,josevalim,6
dmathieu,arunagw,6
josevalim,rafaelfranca,10
spastorino,josevalim,20
tenderlove,NZKoz,8
tenderlove,jeremy,9
steveklabnik,fxn,6
tenderlove,carlosantoniodasilva,3
parndt,rafaelfranca,1
carlosantoniodasilva,rafaelfranca,12
arunagw,carlosantoniodasilva,1
fxn,guilleiguaran,1
josevalim,drogus,10
drogus,rafaelfranca,10
guilleiguaran,rafaelfranca,4
josevalim,strzalek,1
carlosantoniodasilva,kares,3
carlosantoniodasilva,rywall,1
rywall,njakobsen,2
josevalim,pixeltrix,15
kirs,rafaelfranca,2
guilleiguaran,carlosantoniodasilva,3
robertomiranda,guilleiguaran,1
guilleiguaran,spastorino,36
arunagw,guilleiguaran,20
dasch,rafaelfranca,4
gaurish,arunagw,1
arunagw,steveklabnik,1
spastorino,tenderlove,8
steveklabnik,jmazzi,1
tenderlove,drbrain,3
arunagw,rafaelfranca,1
josevalim,schneems,3
arunagw,ugisozols,1
pixeltrix,arunagw,3
pixeltrix,fxn,4
arunagw,fxn,5
dmathieu,pixeltrix,1
guilleiguaran,dmathieu,4
carlosantoniodasilva,fxn,4
guilleiguaran,kennyj,39
gaurish,drogus,2
steveklabnik,NZKoz,2
drogus,carlosantoniodasilva,10
dmathieu,fxn,1
kennyj,spastorino,12
Alamoz,josevalim,1
guilleiguaran,drogus,9
fxn,josevalim,21
carlosantoniodasilva,jonleighton,3
jonleighton,arunagw,12
jonleighton,amatsuda,3
josevalim,bcardarella,12
bcardarella,simi,3
josevalim,josh,2
josh,NZKoz,6
rafaelfranca,tenderlove,12
carlosantoniodasilva,kirs,1
carlosantoniodasilva,kennyj,8
spastorino,dmathieu,5
spastorino,carlosantoniodasilva,5
guilleiguaran,NZKoz,2
tenderlove,fxn,6
arunagw,dhh,2
radar,rafaelfranca,1
fxn,drogus,3
josevalim,arunagw,27
tenderlove,bogdan,1
rafaelfranca,bcardarella,1
pixeltrix,thedarkone,1
fxn,iHiD,2
atambo,arunagw,1
al2o3cr,rafaelfranca,1
kennyj,tenderlove,21
guilleiguaran,josh,6
josevalim,carlosantoniodasilva,11
josevalim,bogdan,13
apotonick,josevalim,2
steveklabnik,josevalim,2
fxn,dhh,1
arunagw,kennyj,15
kennyj,jeremy,2
dasch,fxn,5
davidcelis,jonleighton,3
fxn,mattdbridges,3
steveklabnik,jeremy,2
mikekelly,fxn,8
softwaregravy,rafaelfranca,5
jeremy,carlosantoniodasilva,8
pixeltrix,lellisga,2
pixeltrix,JonRowe,2
sergiocampama,guilleiguaran,1
nfm,rafaelfranca,1
dmathieu,siong1987,6
guilleiguaran,josevalim,36
tenderlove,pixeltrix,6
dmathieu,dasch,1
jonleighton,rafaelfranca,6
carlosantoniodasilva,yahonda,2
josevalim,rubys,1
spastorino,jonleighton,5
