from,to,weight
senny,josevalim,1
masterkain,rafaelfranca,1
senny,tenderlove,2
arunagw,senny,3
rafaelfranca,jeremy,32
dmathieu,rafaelfranca,24
dmathieu,GRoguelon,1
rafaelfranca,jarl-dk,10
strzalek,pixeltrix,2
pixeltrix,rafaelfranca,49
senny,rafaelfranca,54
jeremy,sikachu,7
robin850,steveklabnik,5
ProGNOMmers,rafaelfranca,1
pixeltrix,radar,1
rafaelfranca,spastorino,20
kennyj,rafaelfranca,91
rafaelfranca,NZKoz,9
dmathieu,josevalim,12
robin850,rafaelfranca,9
rafaelfranca,nashby,16
lunks,rafaelfranca,1
schneems,jeremy,4
pixeltrix,kennyj,7
rafaelfranca,bogdan,9
rafaelfranca,sikachu,8
sikachu,fxn,4
fxn,rafaelfranca,30
josevalim,thedarkone,7
dasch,josevalim,2
dmathieu,steveklabnik,2
dmathieu,arunagw,6
josevalim,rafaelfranca,52
spastorino,josevalim,19
tenderlove,NZKoz,4
tenderlove,jeremy,8
chancancode,rafaelfranca,5
chancancode,carlosantoniodasilva,5
steveklabnik,fxn,35
vipulnsward,rafaelfranca,1
rafaelfranca,ernie,12
tenderlove,carlosantoniodasilva,18
carlosantoniodasilva,SamSaffron,3
parndt,rafaelfranca,13
carlosantoniodasilva,rafaelfranca,123
arunagw,carlosantoniodasilva,14
steveklabnik,rafaelfranca,163
fxn,yfeldblum,2
josevalim,drogus,28
drogus,rafaelfranca,57
bcardarella,danmcclain,2
danmcclain,rafaelfranca,3
senny,carlosantoniodasilva,4
guilleiguaran,rafaelfranca,42
thedarkone,rafaelfranca,3
rafaelfranca,jrochkind,28
steveklabnik,TiagoCardoso1983,2
robin850,carlosantoniodasilva,14
carlosantoniodasilva,kares,3
robin850,tenderlove,1
carlosantoniodasilva,rywall,1
rywall,njakobsen,1
garysweaver,steveklabnik,2
steveklabnik,guilleiguaran,16
strzalek,drogus,3
robin850,josevalim,3
steveklabnik,pixeltrix,29
fxn,robin850,3
josevalim,pixeltrix,22
steveklabnik,senny,29
fxn,schneems,7
Mik-die,rafaelfranca,3
rafaelfranca,benolee,2
guilleiguaran,carlosantoniodasilva,13
steveklabnik,gaurish,8
gaurish,guilleiguaran,1
carlosantoniodasilva,jonkessler,2
senny,pixeltrix,4
guilleiguaran,spastorino,18
arunagw,guilleiguaran,4
al2o3cr,senny,2
dasch,rafaelfranca,4
steveklabnik,vipulnsward,1
steveklabnik,radar,1
gaurish,arunagw,4
arunagw,steveklabnik,8
senny,jeremy,2
spastorino,tenderlove,1
steveklabnik,carlosantoniodasilva,50
rafaelfranca,mhuggins,13
atambo,guilleiguaran,8
steveklabnik,homakov,12
steveklabnik,jmazzi,2
NZKoz,homakov,10
arunagw,rafaelfranca,28
carlosantoniodasilva,dmathieu,10
josevalim,schneems,19
schneems,rafaelfranca,50
beerlington,rafaelfranca,5
pixeltrix,arunagw,5
pixeltrix,fxn,9
schneems,guilleiguaran,1
rafaelfranca,dhh,6
schneems,pixeltrix,16
arunagw,fxn,5
dmathieu,pixeltrix,1
pixeltrix,guilleiguaran,2
guilleiguaran,dmathieu,2
rafaelfranca,jasonhutchens,1
steveklabnik,betelgeuse,1
carlosantoniodasilva,fxn,17
rafaelfranca,derekprior,3
steveklabnik,drogus,31
guilleiguaran,kennyj,7
gaurish,drogus,4
steveklabnik,NZKoz,4
drogus,carlosantoniodasilva,34
steveklabnik,Empact,1
josevalim,gaurish,2
drogus,schneems,4
thedarkone,tenderlove,5
dmathieu,fxn,2
ankit8898,rafaelfranca,1
acapilleri,robin850,1
kennyj,spastorino,3
Alamoz,steveklabnik,8
steveklabnik,ybart,3
carlosantoniodasilva,strzalek,1
guilleiguaran,drogus,7
steveklabnik,kennyj,12
pixeltrix,carlosantoniodasilva,15
steveklabnik,henrikhodne,1
steveklabnik,dhh,1
fxn,josevalim,16
rafaelfranca,freegenie,4
carlosantoniodasilva,jonleighton,20
frodsan,carlosantoniodasilva,47
rafaelfranca,frodsan,101
frodsan,guilleiguaran,12
schneems,carlosantoniodasilva,12
josevalim,bcardarella,16
schneems,steveklabnik,33
rafaelfranca,JonRowe,1
rafaelfranca,yahonda,28
