from,to,weight
akaariai,manfre,2
charettes,akaariai,4
mjtamlyn,charettes,1
mjtamlyn,timgraham,3
evildmp,mjtamlyn,1
charettes,aaugustin,1
evildmp,timgraham,4
mjtamlyn,claudep,1
andrewgodwin,akaariai,19
akaariai,claudep,1
timgraham,claudep,2
ramiro,timgraham,1
evildmp,ptone,2
mjtamlyn,apollo13,4
ptone,freakboy3742,4
mjtamlyn,tomchristie,2
akaariai,mjtamlyn,2
akaariai,ptone,4
akaariai,aaugustin,1
akaariai,dstufft,5
mjtamlyn,alex,1
alex,charettes,1
apollo13,jezdez,1
apollo13,goinnn,3
mjtamlyn,aaugustin,1
ptone,aaugustin,2
dstufft,timgraham,1
carljm,jezdez,1
timgraham,dlo,1
ptone,apollo13,5
ptone,timgraham,5
carljm,charettes,1
claudep,aaugustin,6
alex,jacobian,4
jacobian,apollo13,1
aaugustin,apollo13,1
apollo13,akaariai,1
apollo13,charettes,2
mjtamlyn,spookylukey,1
kezabelle,mjtamlyn,1
apollo13,fabianbuechler,2
fabianbuechler,uruz,2
uruz,apollo13,1
apollo13,mpaolini,2
charettes,lborgav,1
alex,elliottcable,1
ramiro,tbartelmess,1
aaugustin,Y3K,1
maelstrom,pydanny,1
pydanny,timgraham,4
claudep,apollo13,6
apollo13,nicolasleger,2
henrietta,apollo13,1
rtnpro,ramiro,2
apollo13,pyriku,2
chmarr,apollo13,1
apollo13,bak1an,2
n1k0,GromNaN,2
charettes,robert-j-engdahl,1
apollo13,eire1130,2
apollo13,kmtracey,1
kmtracey,eire1130,1
charettes,crodjer,3
crodjer,apollo13,1
crodjer,ptone,4
evildmp,ramiro,1
niwibe,mjtamlyn,1
mjtamlyn,hcarvalhoalves,1
hcarvalhoalves,cesarFrias,1
cesarFrias,aaugustin,1
aaugustin,inocuo,1
aaugustin,max-arnold,2
aaugustin,sebasmagri,1
sebasmagri,jphalip,1
apollo13,ghickman,1
ghickman,claudep,1
jezdez,ptone,2
jezdez,claudep,2
epicserve,ptone,2
timgraham,lorin,1
aaugustin,minrk,2
aaugustin,ramiro,1
ramiro,minrk,2
aaugustin,pydanny,2
claudep,seanbrant,1
apollo13,jaysherby,1
benoitbryon,mjtamlyn,2
ptone,harph,1
apollo13,mrj0,2
apollo13,khoomeister,1
mjtamlyn,foxx,1
foxx,timgraham,1
apollo13,nosamanuel,1
amcgregor,aaugustin,1
JanBednarik,claudep,1
JanBednarik,camilonova,1
camilonova,lqc,2
camilonova,aaugustin,1
apollo13,tomchristie,2
apollo13,SmileyChris,2
apollo13,fanatid,1
fanatid,Rizach,1
alex,mitar,1
claudep,lqc,6
claudep,fcurella,5
fcurella,aaugustin,3
apollo13,manfre,3
evildmp,spookylukey,1
dokterbob,alex,2
dokterbob,mhaligowski,1
mhaligowski,apollo13,1
apollo13,Vienzzion,1
apollo13,elvard,2
elvard,aaugustin,1
mjtamlyn,0x0badc0de,2
0x0badc0de,charettes,2
berkerpeksag,doda,1
doda,ss41153,1
charettes,d1ffuz0r,1
d1ffuz0r,ptone,1
akaariai,mrmachine,1
mrmachine,claudep,1
apollo13,jbuckner,1
jbuckner,aaugustin,1
alex,claudep,8
alex,akaariai,8
akaariai,wdoekes,2
akaariai,shaib,7
ptone,viniciuscainelli,2
alex,ptone,3
alex,jMyles,2
alex,andrewgodwin,4
andrewgodwin,shaib,9
andrewgodwin,ptone,1
freakboy3742,andrewgodwin,1
andrewgodwin,maxirobaina,2
apollo13,collinanderson,1
jacobian,dlo,2
apollo13,freakboy3742,5
freakboy3742,jacobian,2
freakboy3742,ironfroggy,2
freakboy3742,uruz,3
uruz,ramiro,1
ramiro,ptone,1
apollo13,viniciuscainelli,1
viniciuscainelli,freakboy3742,1
charettes,lotheac,5
lotheac,apollo13,7
frgtn,aaugustin,1
apollo13,bouchardsyl,1
bouchardsyl,ptone,1
mjtamlyn,martey,2
brad,g1smd,32
g1smd,apollo13,7
apollo13,brad,3
g1smd,adrianholovaty,2
niwibe,peterlandry,2
niwibe,ptone,1
alex,manfre,3
nduthoit,ptone,1
apollo13,dlo,2
mjtamlyn,mcrute,1
jphalip,aaugustin,1
aaugustin,tswicegood,1
tswicegood,jphalip,1
mjtamlyn,awsum,4
mjtamlyn,idanz,1
idanz,kmtracey,2
mjtamlyn,jezdez,12
jezdez,myusuf3,3
myusuf3,jacobian,1
jacobian,jezdez,1
jezdez,akumria,1
akumria,myusuf3,1
myusuf3,carljm,1
mjtamlyn,Matt-Stevens,1
Matt-Stevens,adrianholovaty,1
niwibe,anton-ryzhov,3
anton-ryzhov,mjtamlyn,1
mjtamlyn,dmclain,1
dmclain,timgraham,1
apollo13,oooops,1
mjtamlyn,phill-tornroth,1
phill-tornroth,apollo13,1
berkerpeksag,dlamotte,1
apollo13,selwin,3
aaugustin,Natim,3
aaugustin,naktinis,2
charettes,danniel,1
danniel,adrianholovaty,1
apollo13,graingert,3
chrislawlor,claudep,2
apollo13,GaretJax,2
apollo13,ubernostrum,1
rmaceissoft,avelino,1
avelino,fcurella,1
ptone,AnthonyDB,6
ptone,kezabelle,1
kezabelle,pydanny,2
kezabelle,jezdez,1
jezdez,pydanny,1
pydanny,jdunck,2
apollo13,dekkers,1
mlavin,breerly,4
breerly,lifeiscontent,1
lifeiscontent,mlavin,1
breerly,omarestrella,3
omarestrella,kmtracey,1
kmtracey,breerly,3
bhuztez,cberner,1
seocam,cadusk,1
alex,lorin,1
lorin,apollo13,2
lorin,helber,1
adrianholovaty,seocam,2
mgrouchy,claudep,3
mgrouchy,mjtamlyn,3
charettes,kylemacfarlane,1
kylemacfarlane,jphalip,1
jphalip,dbrgn,1
dbrgn,timgraham,1
apollo13,gsong,1
claudep,ljosa,1
mgrouchy,dmedvinsky,2
mgrouchy,alex,2
dcramer,pydanny,1
pydanny,alex,1
alex,jphalip,2
jphalip,pydanny,1
claudep,dittaeva,3
domguard,sjaensch,1
sjaensch,aaugustin,1
brad,micolous,4
brad,jezdez,2
doismellburning,claudep,2
charettes,pjdelport,1
pjdelport,aaugustin,1
nagisa,apollo13,1
apollo13,kspi,1
kspi,nagisa,1
deniscostadsc,aaugustin,1
adw0rd,apollo13,1
apollo13,gwrtheyrn,1
gwrtheyrn,jezdez,1
jezdez,dbrgn,1
akaariai,jbronn,1
jbronn,claudep,1
akaariai,tuxcanfly,1
aaugustin,ChameleonRed,3
jphalip,ekkus93,2
jphalip,apollo13,2
adrianholovaty,nagisa,2
tsaylor,apollo13,1
mlavin,saschpe,1
saschpe,ptone,2
saschpe,spookylukey,3
akaariai,dgerzo,1
dgerzo,apollo13,1
jezdez,spookylukey,2
mjtamlyn,kennethlove,3
kennethlove,dbrgn,1
dbrgn,mjtamlyn,4
spookylukey,jacobian,1
jacobian,kezabelle,1
dbrgn,gwrtheyrn,2
mjtamlyn,gwrtheyrn,1
gwrtheyrn,pydanny,1
pydanny,idan,3
idan,jezdez,2
idan,bryanhelmig,1
dbrgn,apollo13,2
apollo13,dhepper,1
dhepper,jphalip,1
apollo13,dmedvinsky,6
jezdez,bouchardsyl,1
bouchardsyl,chrismedrela,1
audreyr,aaugustin,1
akaariai,oinopion,2
claudep,jakul,1
jakul,apollo13,4
adrianholovaty,saschpe,3
drtyrsa,svartalf,1
svartalf,akaariai,1
apollo13,msabramo,3
msabramo,jezdez,1
samuraisam,jphalip,1
ogier,rafaduran,2
spookylukey,crodjer,4
rafaduran,ubernostrum,1
claudep,kezabelle,1
kezabelle,YorikSar,1
YorikSar,claudep,1
jpic,adrianholovaty,1
adrianholovaty,dbrgn,1
dbrgn,spookylukey,1
spookylukey,jpic,1
ramiro,dbrgn,1
dbrgn,davedash,1
davedash,DrMeers,1
DrMeers,claudep,1
alex,jezdez,1
rafaduran,adrianholovaty,1
ogier,crodjer,1
