from,to,weight
kizu,parkr,2
parkr,benbalter,1
parkr,mattr-,76
parkr,maul-esel,17
gettalong,parkr,1
parkr,zachgersh,9
maul-esel,mattr-,4
benbalter,mattr-,2
parkr,jsw0528,1
gummesson,parkr,6
parkr,pathawks,1
mattr-,kevinSuttle,4
parkr,kevinSuttle,22
scribu,parkr,8
ixti,mattr-,12
parkr,GSI,2
parkr,johnkhughes,3
zachgersh,mattr-,2
mattr-,cobyism,9
parkr,cobyism,8
parkr,wyaeld,1
parkr,ixti,45
ixti,qrush,5
ixti,tombell,5
tombell,parkr,58
mrueg,parkr,1
parkr,stomar,6
parkr,davecranwell,1
parkr,envygeeks,7
mattr-,envygeeks,1
parkr,paulmsmith,1
paulmsmith,maul-esel,1
gcapizzi,parkr,1
parkr,gongzhitaao,1
parkr,bcomnes,2
parkr,imathis,3
mattr-,scribu,2
zachgersh,cobyism,1
parkr,uberbuilder,5
postmodern,parkr,4
dandunckelman,parkr,6
parkr,qrush,30
kentonv,parkr,1
StevenBlack,parkr,3
parkr,agarie,6
parkr,mojombo,28
voidfiles,parkr,4
mattr-,mojombo,8
jwebcat,mattr-,8
mattr-,tombell,5
tombell,mojombo,2
benbalter,sr,1
mastahyeti,parkr,2
AlexanderEkdahl,maul-esel,2
voidfiles,maul-esel,2
mattr-,andytlr,1
andytlr,parkr,2
parkr,ofcan,1
mattr-,tomde61,1
mattr-,jyruzicka,5
jyruzicka,parkr,3
parkr,AlexanderEkdahl,16
jwebcat,chrisfinazzo,7
parkr,ChiperSoft,4
stomar,zachgersh,1
gummesson,jwebcat,2
jwebcat,Aahan,3
jwebcat,stomar,4
stomar,Aahan,1
stomar,Apathetic012,2
Apathetic012,jwebcat,1
gummesson,Apathetic012,1
parkr,jwebcat,17
maul-esel,ofcan,5
allthelucky,wyaeld,1
parkr,brunosan,1
jwebcat,maul-esel,1
ixti,jyruzicka,1
parkr,hupili,2
parkr,uliska,3
mattr-,rafaelrosafu,1
mattr-,alexdean,1
alexdean,parkr,1
parkr,millisami,1
parkr,torrentkino,3
torrentkino,mattr-,1
liliakai,parkr,1
bcomnes,jpoehls,1
mattr-,ijse,1
ijse,parkr,2
agarie,zachgersh,1
zachgersh,mojombo,1
parkr,awolfe76,3
ixti,guileen,1
guileen,parkr,1
parkr,sl4mmy,2
sl4mmy,ixti,3
parkr,bebraw,2
danielgrieve,sl4mmy,1
svnpenn,jwebcat,5
danielgrieve,jwebcat,4
parkr,danielgrieve,14
danielgrieve,mojombo,3
derelk,parkr,3
parkr,conspirator,1
conspirator,gcapizzi,2
gcapizzi,derelk,2
parkr,jimi1283,7
jwebcat,jimi1283,1
mattr-,dandunckelman,1
mattr-,davecranwell,1
jroes,parkr,2
parkr,MarchLiu,3
tombell,xeross,2
xeross,parkr,2
