from,to,weight
jc00ke,dbussink,1
brixen,dbussink,4
dbussink,rocky,4
tmornini,dbussink,4
brixen,postmodern,6
dbussink,rkh,1
dbussink,halorgium,1
evanphx,brixen,16
rkh,evanphx,2
kronos,dbussink,2
tmornini,brixen,1
dbussink,evanphx,9
evanphx,rue,3
rue,brixen,1
evanphx,chuckremes,3
chuckremes,dbussink,1
tmornini,evanphx,12
evanphx,mitchellh,9
evanphx,dje,1
agrimm,evanphx,1
evanphx,postmodern,1
brixen,drnic,4
dbussink,drnic,2
kronos,evanphx,17
evanphx,rocky,2
evanphx,brianmario,2
evanphx,brynary,1
evanphx,mattdaw,1
freeformz,brixen,1
brixen,kronos,6
rubychan,evanphx,4
drnic,evanphx,3
matthewd,evanphx,1
brixen,ujihisa,5
yaroslav,evanphx,3
marius,evanphx,2
dgtized,evanphx,2
evanphx,djberg96,4
wilson,jlecour,1
jlecour,evanphx,1
dbussink,etagwerker,1
matthewd,brixen,1
djberg96,chuckremes,5
brixen,djberg96,8
dbussink,devyn,5
brixen,miv,1
miv,tmornini,3
evanphx,miv,4
gnufied,evanphx,2
MarkusQ,koraktor,2
MarkusQ,evanphx,1
MarkusQ,agrimm,1
brixen,MarkusQ,1
rue,mbbh,5
sbryant,evanphx,1
dbussink,NilsHaldenwang,2
adam000,brixen,1
evanphx,jaw6,1
jaw6,brixen,3
brixen,nicolasochem,1
nicolasochem,evanphx,1
luislavena,myronmarston,1
myronmarston,evanphx,5
brixen,nocode,1
evanphx,zhando,1
zhando,brixen,2
brixen,antage,4
antage,evanphx,3
dmacvicar,brixen,3
brixen,sandys,2
evanphx,nyarly,1
jmhodges,freels,1
evanphx,andrewmilkowski,13
andrewmilkowski,tmornini,2
mutle,evanphx,1
evanphx,kubo,4
brixen,kubo,3
iccodes,brixen,1
evanphx,kaiwren,1
kronos,evtuhovich,3
evanphx,patcito,2
brixen,patcito,2
dbussink,igrep,4
igrep,evanphx,2
dbussink,rsim,1
sprsquish,evanphx,1
brixen,glitterfang,2
goyox86,dbussink,3
rkh,judofyr,1
judofyr,evanphx,1
raggi,jarib,1
tmornini,jakedouglas,1
jakedouglas,evanphx,1
evanphx,godfat,1
godfat,reima,1
reima,evanphx,1
evanphx,wycats,1
dbussink,pcapriotti,2
ysbaddaden,dbussink,1
brixen,atoulme,2
henrikhodne,dje,1
chuckremes,myronmarston,1
evanphx,nocode,6
cremes,evanphx,1
atoulme,Tass,2
atoulme,evanphx,5
evanphx,loe,2
evanphx,dkubb,2
evanphx,wayneeseguin,1
wayneeseguin,jlecour,5
evanphx,zanst,1
atoulme,kronos,1
brixen,gstark,6
evanphx,rb2k,4
khamutov,headius,1
headius,nocode,1
nocode,seydar,1
seydar,evanphx,2
jgoizueta,kronos,9
jgoizueta,brixen,1
evanphx,arton,3
tmornini,wilson,1
atoulme,rkh,2
brixen,tritonrc,3
kronos,tmornini,1
evanphx,101pascal,8
evanphx,cannikin,1
evanphx,taf2,2
brynary,febuiles,3
febuiles,evanphx,4
jbwiv,evanphx,1
brixen,vvs,1
brixen,jbwiv,1
jbwiv,mguterl,1
mguterl,brixen,1
badboy,dbussink,1
kronos,sentientmonkey,5
sentientmonkey,evanphx,1
postmodern,kronos,1
brixen,bastos,1
luislavena,evanphx,3
yaroslav,railsjedi,1
railsjedi,Flamefork,3
Flamefork,evanphx,3
tlockney,evanphx,1
evanphx,josiahdecker,1
josiahdecker,kronos,1
ujihisa,evanphx,1
tmornini,michaeledgar,1
michaeledgar,evanphx,1
rue,marius,1
evanphx,tomonacci,1
Tass,kronos,2
Tass,evanphx,1
Tass,luislavena,1
marcandre,evanphx,1
wycats,rkh,1
Tass,vlazar,1
vlazar,freeformz,1
evanphx,bkb,1
yfeldblum,kronos,1
evanphx,sdsykes,3
tmornini,wyhaines,1
eveel,evanphx,1
malu,evanphx,1
dbussink,mauricioszabo,2
evanphx,evtuhovich,2
evanphx,ybart,1
kstephens,evanphx,1
kstephens,dbussink,1
rb2k,igrigorik,1
igrigorik,evanphx,2
callmejoe,evanphx,1
callmejoe,Mazwak,1
Mazwak,evanphx,1
kronos,antage,1
harukizaemon,evanphx,1
companygardener,evanphx,1
evanphx,pem,1
andrewhj,evanphx,1
epitron,evanphx,1
rue,isomorphisms,2
burke,evanphx,1
evanphx,davidtrogers,1
