from,to,weight
mojombo,qrush,1
mojombo,mreid,1
kikito,mreid,6
kikito,rcfox,1
jwpage,NV,1
blakesmith,sl4m,4
blakesmith,postmodern,3
postmodern,CameronGilroy,2
postmodern,mojombo,2
mojombo,StefanLiebenberg,2
mojombo,hexa2k9,2
blakesmith,CarterA,1
CarterA,mojombo,2
sl4m,mojombo,10
mojombo,ctrochalakis,3
ctrochalakis,kneath,1
kneath,mojombo,1
mojombo,koraktor,2
mojombo,mdippery,1
markoa,StefanLiebenberg,1
mojombo,garrettmurray,3
garrettmurray,mysen,1
mysen,pnts,1
andrewheiss,dossy,1
andrewheiss,avinashv,1
mojombo,darwin,6
koraktor,jduff,1
jduff,RipTheJacker,1
RipTheJacker,sl4m,1
sl4m,defunkt,1
defunkt,mojombo,1
mojombo,millisami,1
jonforums,sl4m,2
jonforums,mojombo,1
tvo,mojombo,2
davepeck,andrewheiss,2
andrewheiss,AndreasOM,2
xiongchiamiov,AndreasOM,1
RyanCacophony,ascarter,1
krisb,mojombo,1
mojombo,bnhymn,1
bnhymn,Tigraine,1
mojombo,tomstuart,1
kez,StefanLiebenberg,1
mojombo,rfelix,1
jodosha,mojombo,1
agorf,robey,1
robey,ctrochalakis,1
ctrochalakis,thomie,1
thomie,mojombo,1
mojombo,salex,1
mojombo,dreamcat4,1
erikzaadi,mojombo,1
christianhellsten,mojombo,1
avdgaag,dgrijalva,1
qrush,tvo,1
adamstac,tomash,1
TheLinx,mojombo,1
mojombo,ptarjan,1
ptarjan,wandernauta,4
henrik,mojombo,1
jrk,xiongchiamiov,1
xiongchiamiov,mojombo,1
eusebe,Vanuan,1
markoa,gastongarcia,1
gastongarcia,AzizLight,1
AzizLight,ssokolow,1
ssokolow,Tigraine,2
mojombo,kikito,1
rfelix,josegonzalez,1
qrush,darwin,1
