from,to,weight
jc00ke,dbussink,2
brixen,dbussink,3
dbussink,postmodern,2
dbussink,rocky,4
tmornini,dbussink,1
dbussink,brianmario,1
evanphx,brixen,9
chuckremes,brixen,5
brixen,rkh,5
dbussink,jeremyevans,1
brixen,burningTyger,2
dbussink,spastorino,2
jc00ke,evanphx,4
kronos,dbussink,3
dbussink,luislavena,1
tmornini,brixen,1
dbussink,evanphx,4
cheba,evanphx,2
txus,evanphx,1
rue,brixen,1
evanphx,chuckremes,6
chuckremes,dbussink,1
tmornini,evanphx,7
michaelklishin,evanphx,1
evanphx,mitchellh,9
evanphx,hosiawak,1
ghazel,brixen,1
bakkdoor,jasonroelofs,1
evanphx,dmacvicar,1
agrimm,evanphx,1
evanphx,postmodern,3
kronos,evanphx,2
evanphx,ghazel,31
rakaur,rkh,1
brixen,krainboltgreene,5
evanphx,pat,1
pat,ghazel,3
evanphx,xrl,2
dbussink,mperham,1
mperham,evanphx,2
evanphx,meskyanichi,1
dbussink,clee,1
clee,evanphx,1
evanphx,rocky,15
rkh,rocky,1
shatterednirvana,dbussink,2
evanphx,markiz,1
markiz,michaelklishin,1
hosiawak,michaelklishin,1
cloudbring,ghazel,1
ghazel,aevernon,1
aevernon,evanphx,1
brixen,aevernon,3
evanphx,jnimety,4
evanphx,brianmario,2
brianmario,jnimety,1
dbussink,kennon,4
tmornini,meh,1
meh,dbussink,1
dbussink,jasonroelofs,3
evanphx,frogstarr78,2
chuckremes,matthewd,1
matthewd,smparkes,1
brixen,girrr,1
girrr,dbussink,1
evanphx,marcbowes,1
txus,Nemo157,1
evanphx,brynary,2
evanphx,kwatch,1
tenderlove,tmm1,1
rkh,tenderlove,1
asmodis,dbussink,1
rocky,FunkyFortune,1
kronos,MindTooth,1
MindTooth,utgarda,2
evanphx,corealis,4
stormbrew,burningTyger,1
brixen,caseyf,3
caseyf,evanphx,3
caseyf,chickenkiller,1
chickenkiller,evanphx,1
brixen,mitchellh,1
mitchellh,andrewvc,1
brixen,stormbrew,3
evanphx,bakkdoor,1
ecoffey,brixen,4
premchai21,evanphx,3
Twisol,banister,1
banister,evanphx,1
dbussink,devinus,1
devinus,freeformz,1
freeformz,evanphx,1
evanphx,mattdaw,15
mattdaw,kronos,2
jeremyevans,evanphx,2
ngollan,evanphx,1
mattdaw,brixen,12
dbussink,jeremydurham,1
jeremydurham,postmodern,1
drnic,freeformz,1
freeformz,brixen,1
brixen,nyarly,6
brixen,LRDesign,2
evanphx,phiggins,1
brixen,kronos,3
kronos,jeremydurham,1
jeremydurham,evanphx,2
kronos,rubychan,3
rubychan,evanphx,5
drnic,evanphx,2
brixen,nahi,5
fibric,brixen,1
brixen,wildchild,8
dbussink,wildchild,1
evanphx,wildchild,4
evanphx,vandrijevik,3
ngollan,dbussink,1
rkh,bakkdoor,1
bakkdoor,strmpnk,1
strmpnk,rkh,2
strmpnk,evanphx,3
matthewd,evanphx,1
brixen,ujihisa,3
dbussink,flori,1
dbussink,millisami,1
millisami,evanphx,1
brixen,xxx,7
xxx,dbussink,2
brixen,Spakman,1
evanphx,benburkert,1
benburkert,strmpnk,1
brixen,germanlinux,2
brixen,sgonyea,2
dbussink,scoopr,1
jmstacey,evanphx,1
vic,brainopia,1
djberg96,spastorino,1
shtirlic,raluxgaza,3
raluxgaza,brixen,1
brixen,shtirlic,1
vic,febuiles,2
dmathieu,weppos,1
weppos,brixen,1
libc,yaroslav,3
yaroslav,evanphx,1
rkh,kronos,1
evanphx,tedu,2
dbussink,marius,3
marius,evanphx,1
dgtized,evanphx,1
dbussink,MrJaba,5
Twisol,tmornini,1
Twisol,kronos,3
evanphx,Twisol,1
brixen,collin,1
brianmario,schmurfy,1
schmurfy,evanphx,1
brixen,FunkyFortune,1
FunkyFortune,dbussink,1
srawlins,brixen,1
mjijackson,evanphx,1
jarib,myronmarston,1
rbxbx,drnic,1
evanphx,djberg96,4
wilson,jlecour,1
jlecour,evanphx,1
dbussink,etagwerker,1
evanphx,ariveira,2
matthewd,brixen,1
djberg96,chuckremes,5
brixen,djberg96,8
evanphx,iainbeeston,1
dbussink,devyn,5
brixen,miv,1
miv,tmornini,3
evanphx,miv,5
miv,caseyf,1
gnufied,evanphx,1
MarkusQ,koraktor,2
MarkusQ,evanphx,1
MarkusQ,agrimm,1
brixen,MarkusQ,1
rue,mbbh,5
sbryant,evanphx,1
dbussink,NilsHaldenwang,2
adam000,brixen,1
evanphx,jaw6,1
jaw6,brixen,3
brixen,nicolasochem,1
nicolasochem,evanphx,1
luislavena,myronmarston,1
myronmarston,evanphx,3
brixen,nocode,1
evanphx,zhando,1
zhando,brixen,2
brixen,antage,4
antage,evanphx,2
brixen,hamannp,2
dmacvicar,brixen,3
brixen,sandys,2
evanphx,nyarly,1
jmhodges,freels,1
evanphx,andrewmilkowski,13
andrewmilkowski,tmornini,2
mutle,evanphx,1
evanphx,kubo,3
