from,to,weight
jc00ke,dbussink,2
brixen,dbussink,17
dbussink,mpapis,4
mpapis,brixen,10
dbussink,sferik,4
brixen,kachick,2
jc00ke,brixen,5
dbussink,postmodern,1
robin850,dbussink,3
brixen,jeremyvdw,1
dbussink,flavio,3
tmornini,dbussink,1
brixen,postmodern,9
dbussink,ryoqun,23
dbussink,LTe,26
dbussink,rkh,3
Gibheer,dbussink,3
ileitch,dbussink,3
carlosgaldino,dbussink,2
dbussink,lmars,3
dbussink,hosiawak,1
hosiawak,brixen,4
evanphx,brixen,4
tonysidaway,dbussink,9
jc00ke,robgleeson,1
dbussink,rjsamson,4
brixen,alex,3
steveklabnik,jc00ke,3
brixen,drbrain,1
benlangfeld,dbussink,3
jc00ke,mrb,1
dbussink,jeremyevans,3
jfredett,dbussink,1
dbussink,aumgn,1
jc00ke,hosiawak,2
jc00ke,headius,3
jc00ke,eregon,1
yipdw,brixen,1
evanphx,yipdw,1
zhando,dbussink,2
dbussink,jmstacey,2
dbussink,jrbudnack,1
Gibheer,emachnic,1
headius,brixen,9
elthariel,dbussink,2
dbussink,thedarkone,7
voxik,brixen,33
dbussink,spastorino,1
wilson,whitequark,1
whitequark,jc00ke,1
brixen,ryoqun,3
brixen,edogawaconan,3
ileitch,brixen,5
brixen,lmars,10
jc00ke,burningTyger,1
dbussink,leavengood,1
leavengood,jc00ke,1
robgleeson,carlosgaldino,1
carlosgaldino,jc00ke,1
brixen,tonysidaway,1
lmars,evanphx,2
tonysidaway,jeremyevans,4
dbussink,mulderp,1
lmars,carlosgaldino,4
carlosgaldino,LTe,1
dbussink,jeremyvdw,3
ryoqun,thedarkone,3
LTe,kachick,1
dbussink,travisbot,50
travisbot,ryoqun,17
dbussink,chris-baynes,3
brixen,ricardohsd,1
travisbot,LTe,11
evanphx,kachick,1
travisbot,ileitch,3
ileitch,floere,1
floere,carlosgaldino,2
floere,jc00ke,1
dbussink,floere,1
floere,barttenbrinke,4
barttenbrinke,robgleeson,2
barttenbrinke,brixen,1
ileitch,thedarkone,1
thedarkone,headius,3
dbussink,pirj,1
markburns,travisbot,2
brixen,ddd,1
ddd,evanphx,1
Gibheer,travisbot,2
dbussink,eregon,2
travisbot,tsion,4
tsion,jc00ke,3
brixen,eregon,3
dbussink,jwoertink,3
dbussink,walski,1
walski,travisbot,1
dbussink,funny-falcon,3
funny-falcon,evanphx,2
dbussink,vmg,6
vmg,travisbot,2
dbussink,NSError,5
NSError,travisbot,4
travisbot,brixen,7
brixen,ConradIrwin,1
rkh,trans,1
mpapis,michaelklishin,2
brixen,robin850,1
brixen,LTe,1
travisbot,flavio,4
travisbot,jfirebaugh,2
jfirebaugh,flavio,1
brixen,flavio,1
