from,to,weight
MattHall,mojombo,2
Kwpolska,jeanzhang,1
cicloid,robru,1
robru,mojombo,1
robru,AzizLight,3
robru,Nerian,31
Nerian,jwang,1
Wolfy87,robru,1
mojombo,mjschultz,1
mojombo,laumann,3
mojombo,andhapp,1
raid5,mojombo,1
molte,philippbosch,2
molte,andyfowler,2
molte,josegonzalez,1
josegonzalez,citizenparker,4
kikito,Luiji,3
Nerian,mdippery,1
derrickj,Frobitz,1
dabit,mattdipasquale,1
codykrieger,MattHall,3
elia,mojombo,1
sos4nt,zanona,1
tomash,mattdipasquale,2
tomash,balupton,1
mojombo,sos4nt,3
sos4nt,pawelsawicki,1
pawelsawicki,mojombo,1
mojombo,waylan,1
imathis,imanel,1
imanel,kuukii,1
kuukii,winton,1
winton,rubiii,1
mojombo,arnar,2
jasongraham,digitalsanctum,2
jasongraham,mojombo,1
mojombo,tomash,1
mottram,mojombo,1
mojombo,jlecour,1
mojombo,mreid,2
kikito,mreid,6
kikito,rcfox,1
rcfox,quantumelixir,3
quantumelixir,jessykate,1
lmmendes,tatey,1
postmodern,CameronGilroy,2
postmodern,mojombo,1
postmodern,digitalsanctum,1
kneath,mojombo,1
mysen,pnts,1
tvo,txdv,1
mojombo,dator,1
dator,gillesfabio,1
aseemk,zacharydanger,1
RyanCacophony,desandro,1
bnhymn,Tigraine,1
Tigraine,jpoehls,1
graysky,txdv,2
jrk,bjtitus,1
StefanLiebenberg,trapd00r,1
rfelix,mat813,1
mat813,gfxmonk,3
kr,erskingardner,1
kirbysayshi,Whiteknight,1
dgrijalva,gerrit,1
gerrit,icco,1
icco,dgrijalva,1
dgrijalva,andyfowler,1
andyfowler,icco,2
xdissent,lukebayes,1
adamstac,tomash,1
tomash,shmuel,1
akmassey,kastork,1
kastork,arnar,3
jamesarosen,MattHall,1
henrik,icco,1
koraktor,bronson,2
koraktor,doolin,1
jberkel,mojombo,1
eusebe,Vanuan,1
gastongarcia,AzizLight,1
AzizLight,ssokolow,1
ssokolow,Tigraine,2
ssokolow,andhapp,1
andhapp,MattHall,1
MattHall,orta,1
orta,JamesGecko,1
JamesGecko,MattHall,3
MattHall,thomasf,1
rfelix,josegonzalez,1
