from,to,weight
qrush,tcurdt,1
qrush,andhapp,1
qdot,klepas,1
klepas,qrush,1
appden,andhapp,1
kr,klepas,1
qrush,vilcans,7
qrush,kirbysayshi,1
tomafro,vilcans,1
vilcans,felix,1
felix,nirvdrum,1
appden,nirvdrum,3
qrush,thinkerbot,2
qrush,bmaland,8
jamesarosen,geoffgarside,1
tomash,ujh,1
ujh,bmaland,2
ujh,rtyler,1
rtyler,qrush,1
qrush,jakobi,1
ujh,qrush,3
qrush,imanel,1
imanel,henrik,3
henrik,tomash,2
tomash,bmaland,2
henrik,bmaland,3
henrik,mattscilipoti,1
mattscilipoti,TomK32,1
TomK32,adamstac,1
jamesarosen,qrush,5
qrush,arnar,1
henrik,qrush,4
qrush,kyleburton,1
qrush,spicycode,3
qrush,ultrasaurus,6
tomjack,henrik,1
henrik,andhapp,1
qrush,tomjack,3
koraktor,qrush,3
koraktor,michaelbarton,1
koraktor,dcreager,1
bmaland,Jens-n,3
Jens-n,qrush,4
ujh,Jens-n,2
qrush,qmx,1
qmx,bmaland,1
Jens-n,h3h,2
Jens-n,tomjack,3
jberkel,qrush,2
qrush,jrk,2
jrk,vilcans,3
qrush,mreid,1
mreid,dreamcat4,1
qrush,tristandunn,3
qrush,eusebe,1
appden,qrush,2
appden,unthinkingly,1
qrush,n8agrin,5
qrush,wfarr,1
wfarr,Jens-n,1
qmx,nirvdrum,1
qrush,roidrage,2
roidrage,matflores,1
matflores,vilcans,1
vilcans,roidrage,3
roidrage,tomafro,1
tomafro,shashi,2
qrush,duritong,3
duritong,vilcans,1
qrush,luciang,1
luciang,bmaland,3
roidrage,wfarr,1
wfarr,matflores,1
matflores,garyf,1
garyf,vilcans,1
jrk,garyf,1
garyf,qrush,1
henrik,supaspoida,1
supaspoida,chmurph2,1
chmurph2,jqr,1
jqr,supaspoida,2
jqr,qrush,1
qrush,pantulis,1
pantulis,tomjack,1
jaywilliams,roidrage,1
sintaxi,qrush,1
qrush,cldwalker,2
qrush,shashi,2
technicalpickles,qrush,2
technicalpickles,wfarr,4
technicalpickles,sintaxi,1
sintaxi,wfarr,1
wfarr,h3h,2
wfarr,henrik,1
henrik,h3h,4
qrush,h3h,2
