from,to,weight
sindresorhus,mojombo,1
svnpenn,jasonroelofs,10
svnpenn,duijf,2
svnpenn,JamesGecko,3
JamesGecko,mdippery,1
chitsaou,gengmzh,3
duijf,mshang,3
atduskgreg,maul-esel,1
Milner08,HackFisher,1
wong2,floere,1
craig552uk,Stiivi,1
Stiivi,klickverbot,1
tmm1,lucagrulla,5
dunsmoreb,mmozuras,4
mmozuras,stereobooster,6
dunsmoreb,itaiferber,1
dunsmoreb,Juanlu001,2
dunsmoreb,claws,1
claws,Juanlu001,1
dunsmoreb,bhardin,5
dunsmoreb,dsdeiz,1
bhardin,stereobooster,2
mojombo,cubranic,1
mojombo,MrWerewolf,1
dunsmoreb,loz,1
loz,stereobooster,1
mojombo,rafeca,1
mojombo,mattrose,1
mytharcher,kas187,1
kas187,sindresorhus,1
sindresorhus,stereobooster,3
mojombo,karlseguin,3
fletcher,stereobooster,1
stereobooster,mytharcher,1
railsaholic,nfm,1
nfm,mojombo,1
stereobooster,tpoisot,2
tpoisot,sbentzen,1
sbentzen,stereobooster,1
tpoisot,z4r,1
z4r,plusjade,1
plusjade,sindresorhus,2
zspencer,stereobooster,1
diabolo,aiwilliams,1
aiwilliams,jwhitley,3
jwhitley,diabolo,3
diabolo,mojombo,1
mojombo,aiwilliams,1
dayne,mojombo,1
chitsaou,mixonic,1
mixonic,jbrains,1
jbrains,mtodd,1
mtodd,ctshryock,1
ctshryock,scottkf,1
scottkf,mrcaron,1
mrcaron,kevzettler,1
kevzettler,sindresorhus,1
pathawks,akaz00,1
dnordstrom,kylev,1
kylev,mojombo,2
simensen,mojombo,5
kylev,scotu,1
Timothee,maul-esel,1
alexandru,maul-esel,5
maul-esel,isaacsanders,4
maul-esel,jaroslavius,2
isaacsanders,aegypius,1
aegypius,maul-esel,2
aegypius,alexandru,2
aegypius,neoascetic,1
neoascetic,zakkain,1
heathermiller,yhahn,1
joshbrown,KAnoshkin,1
tatey,LawrenceWoodman,2
tatey,knarf-se,1
knarf-se,scotu,2
knarf-se,kylev,1
kylev,Caged,1
Caged,juddlyon,1
juddlyon,tobi,1
tobi,jaroslavius,1
duijf,pke,3
koraktor,pke,3
lastknight,eob,1
duckpuppy,envygeeks,1
envygeeks,postmodern,3
envygeeks,nirvdrum,2
envygeeks,dekellum,1
dekellum,postmodern,1
envygeeks,Zegnat,1
jacquestardie,cocoahero,5
cocoahero,uraimo,2
uraimo,jacquestardie,2
simensen,alagu,4
alagu,mojombo,1
envygeeks,richtaur,1
joschi,teiko,2
teiko,ferochera,2
joschi,ferochera,1
envygeeks,davepwsmith,1
ndbroadbent,alexmacdonell,1
alexmacdonell,tobi,1
tobi,flixic,2
tobi,useware,1
useware,jgarber623,1
jgarber623,simensen,1
simensen,zbowling,1
zbowling,jpravetz,1
envygeeks,evilham,2
evilham,inukshuk,2
envygeeks,sp4ce,1
mojombo,rvanlieshout,1
jacius,jergason,1
bdesham,belkadan,2
bdesham,jnrbsn,1
jnrbsn,langmi,1
belkadan,sindresorhus,1
jnrbsn,agorf,3
agorf,sumbach,2
chxt6896,svnpenn,5
mojombo,joeyates,1
ojilles,mojombo,1
sindresorhus,ojilles,1
ojilles,mixonic,1
mlt,dnorwood,1
mojombo,mpalmer,1
sumbach,jnrbsn,2
sumbach,Juev,1
Juev,alanwsmith,1
alanwsmith,brandonarbini,1
parkr,Salzig,1
Salzig,belkadan,2
nono,spk,1
panfia,mklarmann,1
wingrunr21,wylieconlon,1
Nerian,akzhan,1
akzhan,stereobooster,1
mojombo,pepijndevos,2
mojombo,jhartz,1
jhartz,daneharrigan,1
amateurhuman,kbl,1
kbl,paulmsmith,1
MikeSchroll,skuro,1
