from,to,weight
abyx,suchasurge,1
rue,nevir,2
rue,jtdowney,1
drbrain,obrok,1
xrl,guilleiguaran,1
dbussink,jtdowney,5
obrok,burningTyger,2
dbussink,bklang,3
semmons99,rkh,1
rue,Gonzih,3
brixen,trapni,1
trapni,phiggins,3
Gonzih,semmons99,2
dbussink,Gonzih,1
rue,abyx,2
rue,carsonmcdonald,2
rue,frasca,1
rue,AndrewVos,1
guilleiguaran,abyx,2
carlosgaldino,jish,2
jish,abyx,2
dbussink,robertzx,1
robertzx,evanphx,1
brixen,charlietanksley,2
abyx,dbussink,1
burningTyger,charlietanksley,1
charlietanksley,dbussink,2
semmons99,abyx,2
dbussink,gnufied,1
gnufied,cookrn,1
cookrn,evanphx,1
dbussink,ctoneal,4
rue,steveklabnik,2
carlosgaldino,abyx,3
steveklabnik,burningTyger,1
burningTyger,nazgob,1
locks,subwindow,2
subwindow,ctoneal,1
ctoneal,steveklabnik,1
yipdw,DanielHeath,1
steveklabnik,xenda,2
xenda,brixen,1
brixen,subwindow,1
brixen,xaviershay,3
drbrain,p8,1
p8,rue,1
burningTyger,slawosz,1
slawosz,brixen,1
michaelklishin,evanphx,3
rue,dbussink,1
rue,locks,1
dbussink,jergason,1
evanphx,marekjelen,2
rejeep,dbussink,2
steveklabnik,evanphx,2
brixen,dstrelau,3
dstrelau,ileitch,3
rue,wayneeseguin,2
brixen,rejeep,1
steveklabnik,whitequark,1
whitequark,evanphx,2
evanphx,mitchellh,3
jc00ke,rakaur,1
rakaur,cwgem,1
evanphx,mrb,1
jonforums,Zoxc,2
jonforums,luislavena,6
evanphx,hosiawak,1
brixen,jeremyevans,1
jeremyevans,wayneeseguin,1
jc00ke,vpereira,2
jc00ke,michaelklishin,2
jc00ke,mperham,1
jc00ke,jonforums,2
jonforums,brixen,1
evanphx,argent-smith,1
cypher,evanphx,2
steveklabnik,txus,3
wjbuys,evanphx,1
mvz,brixen,1
brixen,yob,2
brixen,wr0ngway,3
evanphx,nasser,1
nasser,gaffo,3
gaffo,headius,2
headius,nasser,3
nasser,tmornini,1
tmornini,gaffo,1
headius,travisbot,1
carlhoerberg,dbussink,1
jc00ke,ghost,1
ghost,brixen,1
DAddYE,evanphx,1
veganstraightedge,bronson,1
chickenkiller,intractable,1
intractable,nasser,1
brixen,sch1zo,1
kuntoaji,steveklabnik,1
matschaffer,brixen,2
MSNexploder,jfirebaugh,1
ko1,dbussink,1
ifesdjeen,dbussink,1
dbussink,jyurek,2
steveklabnik,tanzeeb,2
steveklabnik,henrikhodne,1
rue,jfirebaugh,1
JosephHalter,dbussink,2
utgarda,brixen,1
brixen,Confusion,3
brixen,joshuamiller,1
dbussink,ctshryock,1
evanphx,plagi,1
ghazel,steveklabnik,3
pfharlock,steveklabnik,1
brixen,seemant,2
brixen,vderyagin,1
vderyagin,leander256,1
nahi,steveklabnik,2
nahi,dbussink,2
dazuma,dbussink,1
evanphx,utgarda,1
